XY
	CURVE (1mkcl-5mmolar18btmapaq-nitrogen-rde-1200mvpers-50mvpers.DTA)
4.765e-001	4.039e-006
4.764e-001	4.056e-006
4.763e-001	3.865e-006
4.761e-001	3.960e-006
4.760e-001	3.855e-006
4.759e-001	3.780e-006
4.758e-001	3.793e-006
4.758e-001	3.939e-006
4.758e-001	3.993e-006
4.756e-001	3.991e-006
4.753e-001	3.920e-006
4.752e-001	3.820e-006
4.752e-001	3.874e-006
4.751e-001	3.835e-006
4.751e-001	3.947e-006
4.750e-001	3.936e-006
4.749e-001	3.892e-006
4.748e-001	3.973e-006
4.747e-001	3.745e-006
4.746e-001	3.809e-006
4.744e-001	3.861e-006
4.743e-001	3.914e-006
4.743e-001	3.704e-006
4.742e-001	3.736e-006
4.742e-001	3.817e-006
4.741e-001	3.810e-006
4.738e-001	3.685e-006
4.737e-001	3.929e-006
4.736e-001	3.709e-006
4.735e-001	3.727e-006
4.734e-001	3.705e-006
4.733e-001	3.913e-006
4.732e-001	3.644e-006
4.730e-001	3.785e-006
4.730e-001	4.063e-006
4.729e-001	3.803e-006
4.727e-001	3.769e-006
4.726e-001	3.597e-006
4.726e-001	3.594e-006
4.725e-001	3.700e-006
4.724e-001	3.855e-006
4.723e-001	3.689e-006
4.722e-001	3.537e-006
4.721e-001	3.691e-006
4.720e-001	3.826e-006
4.718e-001	3.699e-006
4.718e-001	3.693e-006
4.717e-001	3.660e-006
4.716e-001	3.534e-006
4.715e-001	3.709e-006
4.714e-001	3.445e-006
4.713e-001	3.543e-006
4.712e-001	3.528e-006
4.711e-001	3.644e-006
4.710e-001	3.608e-006
4.709e-001	3.428e-006
4.708e-001	3.600e-006
4.706e-001	3.542e-006
4.706e-001	3.616e-006
4.704e-001	3.632e-006
4.703e-001	3.332e-006
4.703e-001	3.592e-006
4.702e-001	3.639e-006
4.701e-001	3.525e-006
4.700e-001	3.490e-006
4.699e-001	3.585e-006
4.698e-001	3.470e-006
4.697e-001	3.430e-006
4.696e-001	3.421e-006
4.695e-001	3.571e-006
4.694e-001	3.575e-006
4.693e-001	3.495e-006
4.693e-001	3.459e-006
4.691e-001	3.430e-006
4.690e-001	3.359e-006
4.689e-001	3.317e-006
4.688e-001	3.254e-006
4.687e-001	3.313e-006
4.686e-001	3.335e-006
4.685e-001	3.455e-006
4.684e-001	3.460e-006
4.683e-001	3.453e-006
4.682e-001	3.154e-006
4.681e-001	3.531e-006
4.680e-001	3.447e-006
4.679e-001	3.478e-006
4.678e-001	3.284e-006
4.677e-001	3.204e-006
4.677e-001	3.474e-006
4.675e-001	3.298e-006
4.674e-001	3.483e-006
4.672e-001	3.325e-006
4.672e-001	3.376e-006
4.671e-001	3.418e-006
4.670e-001	3.371e-006
4.669e-001	3.237e-006
4.668e-001	3.505e-006
4.667e-001	3.420e-006
4.666e-001	3.200e-006
4.665e-001	3.336e-006
4.664e-001	3.465e-006
4.663e-001	3.283e-006
4.662e-001	3.255e-006
4.661e-001	3.276e-006
4.661e-001	3.358e-006
4.659e-001	3.340e-006
4.658e-001	3.383e-006
4.657e-001	3.141e-006
4.656e-001	3.374e-006
4.655e-001	3.253e-006
4.654e-001	3.260e-006
4.653e-001	3.218e-006
4.652e-001	3.093e-006
4.651e-001	3.263e-006
4.650e-001	3.240e-006
4.649e-001	3.250e-006
4.648e-001	3.255e-006
4.647e-001	3.230e-006
4.646e-001	3.480e-006
4.646e-001	3.353e-006
4.645e-001	3.207e-006
4.643e-001	3.157e-006
4.641e-001	3.150e-006
4.640e-001	3.255e-006
4.640e-001	3.120e-006
4.639e-001	3.100e-006
4.638e-001	3.310e-006
4.638e-001	3.187e-006
4.636e-001	3.255e-006
4.636e-001	3.194e-006
4.634e-001	3.264e-006
4.633e-001	3.275e-006
4.632e-001	3.066e-006
4.631e-001	3.142e-006
4.630e-001	3.267e-006
4.630e-001	3.106e-006
4.629e-001	3.226e-006
4.628e-001	3.124e-006
4.626e-001	3.030e-006
4.624e-001	3.263e-006
4.624e-001	3.210e-006
4.623e-001	3.218e-006
4.622e-001	3.159e-006
4.621e-001	3.216e-006
4.621e-001	3.016e-006
4.619e-001	3.141e-006
4.618e-001	2.951e-006
4.617e-001	3.115e-006
4.616e-001	3.120e-006
4.615e-001	3.116e-006
