XY
	CURVE (1mkcl-5mmolar15btmapaq-nitrogen-rde1200mvpers-50mvpers.DTA)
4.765e-001	2.070e-006
4.765e-001	2.053e-006
4.765e-001	2.020e-006
4.762e-001	2.035e-006
4.761e-001	2.133e-006
4.760e-001	2.012e-006
4.759e-001	1.986e-006
4.759e-001	2.107e-006
4.758e-001	2.023e-006
4.758e-001	2.060e-006
4.753e-001	2.039e-006
4.752e-001	1.880e-006
4.752e-001	1.978e-006
4.752e-001	1.954e-006
4.751e-001	1.982e-006
4.750e-001	1.891e-006
4.750e-001	1.964e-006
4.749e-001	1.801e-006
4.748e-001	1.852e-006
4.747e-001	1.908e-006
4.744e-001	1.886e-006
4.744e-001	1.906e-006
4.743e-001	1.863e-006
4.743e-001	1.869e-006
4.742e-001	1.964e-006
4.741e-001	1.964e-006
4.740e-001	1.839e-006
4.737e-001	1.843e-006
4.736e-001	1.880e-006
4.735e-001	1.847e-006
4.734e-001	1.766e-006
4.733e-001	1.817e-006
4.732e-001	1.817e-006
4.731e-001	1.808e-006
4.730e-001	1.719e-006
4.729e-001	1.810e-006
4.728e-001	1.718e-006
4.727e-001	1.806e-006
4.726e-001	1.817e-006
4.726e-001	1.796e-006
4.725e-001	1.767e-006
4.723e-001	1.912e-006
4.722e-001	1.825e-006
4.721e-001	1.747e-006
4.720e-001	1.731e-006
4.719e-001	1.747e-006
4.718e-001	1.738e-006
4.717e-001	1.703e-006
4.716e-001	1.741e-006
4.715e-001	1.767e-006
4.714e-001	1.684e-006
4.713e-001	1.771e-006
4.712e-001	1.778e-006
4.711e-001	1.640e-006
4.710e-001	1.721e-006
4.710e-001	1.671e-006
4.709e-001	1.680e-006
4.707e-001	1.751e-006
4.706e-001	1.681e-006
4.705e-001	1.643e-006
4.704e-001	1.676e-006
4.703e-001	1.710e-006
4.702e-001	1.625e-006
4.702e-001	1.800e-006
4.700e-001	1.708e-006
4.699e-001	1.656e-006
4.698e-001	1.603e-006
4.697e-001	1.674e-006
4.696e-001	1.593e-006
4.695e-001	1.670e-006
4.694e-001	1.658e-006
4.694e-001	1.620e-006
4.693e-001	1.569e-006
4.692e-001	1.641e-006
4.690e-001	1.535e-006
4.689e-001	1.524e-006
4.688e-001	1.591e-006
4.687e-001	1.648e-006
4.686e-001	1.595e-006
4.686e-001	1.535e-006
4.685e-001	1.638e-006
4.683e-001	1.683e-006
4.682e-001	1.541e-006
4.681e-001	1.632e-006
4.680e-001	1.549e-006
4.679e-001	1.639e-006
4.678e-001	1.478e-006
4.678e-001	1.508e-006
4.677e-001	1.458e-006
4.675e-001	1.566e-006
4.674e-001	1.466e-006
4.673e-001	1.425e-006
4.672e-001	1.435e-006
4.671e-001	1.566e-006
4.670e-001	1.536e-006
4.670e-001	1.320e-006
4.668e-001	1.548e-006
4.668e-001	1.473e-006
4.666e-001	1.563e-006
4.665e-001	1.511e-006
4.664e-001	1.405e-006
4.663e-001	1.476e-006
4.662e-001	1.417e-006
4.662e-001	1.482e-006
4.662e-001	1.472e-006
4.661e-001	1.429e-006
4.658e-001	1.442e-006
4.657e-001	1.398e-006
4.656e-001	1.436e-006
4.655e-001	1.428e-006
4.655e-001	1.427e-006
4.654e-001	1.402e-006
4.653e-001	1.376e-006
4.652e-001	1.371e-006
4.651e-001	1.535e-006
4.649e-001	1.517e-006
4.649e-001	1.351e-006
4.647e-001	1.464e-006
4.646e-001	1.398e-006
4.646e-001	1.383e-006
4.646e-001	1.353e-006
4.644e-001	1.336e-006
4.643e-001	1.515e-006
4.640e-001	1.423e-006
4.640e-001	1.473e-006
4.639e-001	1.450e-006
4.638e-001	1.229e-006
4.638e-001	1.447e-006
4.637e-001	1.452e-006
4.636e-001	1.387e-006
4.635e-001	1.448e-006
4.633e-001	1.368e-006
4.632e-001	1.500e-006
4.631e-001	1.337e-006
4.630e-001	1.329e-006
4.630e-001	1.248e-006
4.630e-001	1.320e-006
4.629e-001	1.364e-006
4.627e-001	1.211e-006
4.625e-001	1.316e-006
4.624e-001	1.426e-006
4.623e-001	1.285e-006
4.623e-001	1.366e-006
4.622e-001	1.279e-006
4.622e-001	1.324e-006
4.621e-001	1.246e-006
4.619e-001	1.373e-006
4.617e-001	1.404e-006
4.616e-001	1.304e-006
4.615e-001	1.432e-006
4.615e-001	1.300e-006
4.614e-001	1.304e-006
4.614e-001	1.289e-006
4.613e-001	1.274e-006
4.610e-001	1.239e-006
4.609e-001	1.318e-006
4.608e-001	1.316e-006
4.608e-001	1.298e-006
4.607e-001	1.284e-006
4.606e-001	1.293e-006
4.606e-001	1.268e-006
4.605e-001	1.242e-006
4.604e-001	1.190e-006
4.602e-001	1.179e-006
4.600e-001	1.205e-006
4.600e-001	1.225e-006
4.599e-001	1.336e-006
4.598e-001	1.364e-006
4.598e-001	1.249e-006
4.598e-001	1.311e-006
4.595e-001	1.183e-006
4.593e-001	1.194e-006
4.592e-001	1.220e-006
4.592e-001	1.272e-006
4.591e-001	1.269e-006
4.590e-001	1.231e-006
4.590e-001	1.173e-006
4.589e-001	1.159e-006
4.587e-001	1.326e-006
4.586e-001	1.241e-006
4.584e-001	1.156e-006
4.584e-001	1.183e-006
4.583e-001	1.156e-006
4.582e-001	1.279e-006
4.582e-001	1.220e-006
4.581e-001	1.212e-006
4.578e-001	1.168e-006
4.577e-001	1.222e-006
4.576e-001	1.301e-006
4.576e-001	1.148e-006
4.575e-001	1.156e-006
4.574e-001	1.164e-006
4.574e-001	1.254e-006
4.573e-001	1.151e-006
4.572e-001	1.205e-006
4.570e-001	1.096e-006
4.569e-001	1.208e-006
4.568e-001	1.132e-006
4.567e-001	1.146e-006
4.566e-001	1.236e-006
4.566e-001	1.142e-006
4.565e-001	1.228e-006
4.563e-001	1.049e-006
4.561e-001	1.206e-006
4.560e-001	1.179e-006
4.559e-001	1.104e-006
4.559e-001	1.154e-006
4.558e-001	1.126e-006
4.558e-001	1.225e-006
4.558e-001	1.060e-006
4.557e-001	1.146e-006
4.554e-001	1.167e-006
4.552e-001	1.080e-006
4.552e-001	1.136e-006
4.551e-001	1.241e-006
4.550e-001	1.235e-006
4.550e-001	1.073e-006
4.550e-001	9.960e-007
4.547e-001	1.172e-006
4.545e-001	1.143e-006
4.544e-001	1.026e-006
4.544e-001	1.146e-006
4.543e-001	1.143e-006
4.543e-001	1.150e-006
4.542e-001	1.128e-006
4.541e-001	1.146e-006
4.541e-001	1.054e-006
4.538e-001	1.062e-006
4.536e-001	1.117e-006
4.536e-001	1.112e-006
4.535e-001	1.087e-006
4.535e-001	1.052e-006
4.534e-001	1.068e-006
4.532e-001	1.048e-006
4.530e-001	1.061e-006
4.528e-001	1.085e-006
4.528e-001	1.070e-006
4.528e-001	1.079e-006
4.527e-001	9.902e-007
4.526e-001	1.133e-006
4.525e-001	1.005e-006
4.524e-001	1.014e-006
4.523e-001	9.373e-007
4.522e-001	1.019e-006
4.521e-001	1.056e-006
4.520e-001	1.122e-006
4.519e-001	1.036e-006
4.518e-001	1.018e-006
4.518e-001	1.070e-006
4.516e-001	1.096e-006
4.515e-001	1.015e-006
4.512e-001	1.070e-006
4.512e-001	1.083e-006
4.511e-001	1.023e-006
4.511e-001	1.027e-006
4.510e-001	1.025e-006
4.509e-001	9.519e-007
4.510e-001	1.048e-006
4.509e-001	1.015e-006
4.506e-001	9.456e-007
4.504e-001	1.002e-006
4.504e-001	1.028e-006
4.503e-001	1.063e-006
4.502e-001	9.244e-007
4.502e-001	1.167e-006
4.501e-001	1.076e-006
4.498e-001	1.045e-006
4.496e-001	8.494e-007
4.496e-001	9.740e-007
4.495e-001	1.104e-006
4.495e-001	8.731e-007
4.494e-001	8.381e-007
4.494e-001	9.819e-007
4.494e-001	9.781e-007
4.493e-001	1.120e-006
4.491e-001	1.009e-006
4.489e-001	1.019e-006
4.487e-001	9.965e-007
4.487e-001	9.306e-007
4.486e-001	1.061e-006
4.486e-001	1.026e-006
4.486e-001	9.140e-007
4.483e-001	1.065e-006
4.481e-001	9.202e-007
4.479e-001	9.698e-007
4.479e-001	1.011e-006
4.478e-001	1.050e-006
4.478e-001	1.025e-006
4.476e-001	9.735e-007
4.475e-001	1.021e-006
4.474e-001	9.931e-007
4.473e-001	8.727e-007
4.472e-001	9.773e-007
4.471e-001	9.694e-007
4.470e-001	9.086e-007
4.469e-001	8.019e-007
4.469e-001	9.823e-007
4.467e-001	9.156e-007
4.466e-001	9.181e-007
4.465e-001	1.035e-006
4.464e-001	8.890e-007
4.463e-001	8.994e-007
4.462e-001	8.831e-007
4.461e-001	9.423e-007
4.460e-001	8.931e-007
4.459e-001	8.706e-007
4.458e-001	9.802e-007
4.457e-001	8.361e-007
4.456e-001	9.336e-007
4.455e-001	8.294e-007
4.454e-001	8.823e-007
4.454e-001	9.131e-007
4.452e-001	9.535e-007
4.451e-001	8.965e-007
4.450e-001	8.665e-007
4.448e-001	8.436e-007
4.448e-001	8.515e-007
4.447e-001	9.119e-007
4.446e-001	8.702e-007
4.445e-001	9.031e-007
4.444e-001	8.786e-007
4.443e-001	9.748e-007
4.443e-001	9.831e-007
4.441e-001	9.019e-007
4.440e-001	9.660e-007
4.439e-001	9.027e-007
4.438e-001	9.448e-007
4.438e-001	8.981e-007
4.437e-001	1.009e-006
4.436e-001	9.223e-007
4.434e-001	8.923e-007
4.433e-001	8.856e-007
4.432e-001	8.177e-007
4.431e-001	9.244e-007
4.430e-001	6.969e-007
4.430e-001	9.656e-007
4.429e-001	8.256e-007
4.428e-001	8.469e-007
4.426e-001	7.961e-007
4.425e-001	8.911e-007
4.424e-001	8.456e-007
4.423e-001	7.277e-007
4.422e-001	9.815e-007
4.422e-001	8.494e-007
4.421e-001	7.806e-007
4.420e-001	7.706e-007
4.418e-001	8.502e-007
4.417e-001	8.536e-007
4.416e-001	8.123e-007
4.415e-001	8.173e-007
4.414e-001	9.390e-007
4.414e-001	8.490e-007
4.413e-001	7.756e-007
4.412e-001	6.969e-007
4.410e-001	8.094e-007
4.409e-001	9.081e-007
4.408e-001	7.157e-007
4.407e-001	9.073e-007
4.407e-001	9.586e-007
4.406e-001	8.044e-007
4.406e-001	7.831e-007
4.404e-001	8.706e-007
4.402e-001	8.277e-007
4.401e-001	8.994e-007
4.400e-001	9.294e-007
