XY
	CURVE (1mkcl-nitrogen-rde-400-50mvpers.DTA)
2.779e-001	-3.767e-006
2.778e-001	-3.799e-006
2.777e-001	-4.119e-006
2.776e-001	-4.066e-006
2.775e-001	-3.971e-006
2.774e-001	-4.241e-006
2.773e-001	-3.876e-006
2.772e-001	-4.155e-006
2.771e-001	-4.140e-006
2.770e-001	-4.227e-006
2.768e-001	-4.320e-006
2.768e-001	-3.913e-006
2.766e-001	-4.272e-006
2.766e-001	-4.009e-006
2.764e-001	-4.076e-006
2.764e-001	-4.259e-006
2.763e-001	-3.813e-006
2.762e-001	-3.905e-006
2.761e-001	-3.886e-006
2.760e-001	-4.086e-006
2.758e-001	-4.418e-006
2.758e-001	-3.850e-006
2.757e-001	-3.996e-006
2.756e-001	-3.959e-006
2.755e-001	-3.479e-006
2.753e-001	-4.207e-006
2.753e-001	-3.963e-006
2.752e-001	-4.149e-006
2.750e-001	-3.786e-006
2.750e-001	-3.866e-006
2.749e-001	-3.684e-006
2.748e-001	-3.951e-006
2.747e-001	-3.904e-006
2.746e-001	-3.977e-006
2.745e-001	-3.995e-006
2.744e-001	-4.245e-006
2.743e-001	-3.950e-006
2.741e-001	-4.016e-006
2.741e-001	-3.523e-006
2.740e-001	-4.045e-006
2.739e-001	-3.995e-006
2.737e-001	-4.069e-006
2.736e-001	-4.142e-006
2.736e-001	-4.229e-006
2.735e-001	-3.974e-006
2.734e-001	-4.055e-006
2.733e-001	-4.133e-006
2.732e-001	-4.418e-006
2.731e-001	-4.170e-006
2.731e-001	-3.761e-006
2.729e-001	-4.140e-006
2.728e-001	-4.121e-006
2.726e-001	-3.975e-006
2.725e-001	-3.766e-006
2.725e-001	-3.759e-006
2.724e-001	-3.905e-006
2.722e-001	-3.802e-006
2.722e-001	-3.864e-006
2.720e-001	-4.257e-006
2.720e-001	-3.614e-006
2.718e-001	-3.857e-006
2.717e-001	-3.879e-006
2.717e-001	-3.753e-006
2.716e-001	-4.159e-006
2.715e-001	-3.791e-006
2.715e-001	-3.846e-006
2.713e-001	-3.739e-006
2.712e-001	-3.736e-006
2.711e-001	-3.660e-006
2.710e-001	-3.912e-006
2.709e-001	-4.139e-006
2.708e-001	-3.856e-006
2.707e-001	-3.989e-006
2.705e-001	-3.844e-006
2.705e-001	-4.043e-006
2.703e-001	-3.669e-006
2.703e-001	-3.807e-006
2.701e-001	-3.841e-006
2.701e-001	-3.874e-006
2.700e-001	-4.027e-006
2.699e-001	-3.882e-006
2.699e-001	-4.158e-006
2.697e-001	-4.356e-006
2.697e-001	-3.811e-006
2.695e-001	-3.423e-006
2.693e-001	-3.804e-006
2.693e-001	-4.020e-006
2.692e-001	-3.515e-006
2.691e-001	-3.766e-006
2.690e-001	-3.741e-006
2.689e-001	-4.089e-006
2.688e-001	-4.159e-006
2.687e-001	-3.659e-006
2.686e-001	-4.098e-006
2.684e-001	-3.924e-006
2.684e-001	-3.912e-006
2.683e-001	-3.794e-006
2.682e-001	-3.712e-006
2.681e-001	-4.111e-006
2.680e-001	-3.809e-006
2.679e-001	-3.856e-006
2.678e-001	-3.904e-006
2.677e-001	-4.022e-006
2.676e-001	-3.787e-006
2.675e-001	-4.130e-006
2.674e-001	-4.152e-006
2.673e-001	-3.790e-006
2.672e-001	-3.913e-006
2.671e-001	-4.006e-006
2.669e-001	-4.019e-006
2.669e-001	-3.824e-006
2.668e-001	-4.106e-006
2.667e-001	-4.230e-006
2.666e-001	-4.337e-006
2.665e-001	-4.122e-006
2.664e-001	-3.788e-006
2.663e-001	-3.673e-006
2.662e-001	-3.751e-006
2.661e-001	-4.026e-006
2.660e-001	-3.761e-006
2.659e-001	-4.148e-006
2.658e-001	-4.039e-006
2.656e-001	-3.766e-006
2.656e-001	-4.016e-006
2.655e-001	-4.016e-006
2.654e-001	-3.851e-006
2.653e-001	-3.701e-006
2.652e-001	-3.943e-006
2.651e-001	-3.971e-006
2.650e-001	-3.830e-006
2.649e-001	-4.279e-006
2.648e-001	-4.211e-006
2.647e-001	-3.569e-006
2.645e-001	-4.418e-006
2.645e-001	-4.118e-006
2.644e-001	-3.979e-006
2.643e-001	-4.248e-006
2.642e-001	-3.986e-006
2.640e-001	-4.191e-006
2.640e-001	-3.959e-006
2.639e-001	-3.917e-006
2.638e-001	-3.871e-006
2.637e-001	-3.702e-006
2.636e-001	-3.932e-006
2.635e-001	-3.944e-006
2.634e-001	-3.901e-006
2.633e-001	-3.670e-006
2.632e-001	-4.012e-006
2.630e-001	-3.814e-006
2.629e-001	-3.916e-006
2.629e-001	-3.430e-006
2.628e-001	-4.129e-006
2.627e-001	-3.914e-006
2.626e-001	-3.564e-006
2.625e-001	-4.084e-006
2.624e-001	-3.891e-006
2.623e-001	-3.901e-006
2.621e-001	-3.826e-006
2.621e-001	-4.103e-006
2.620e-001	-4.037e-006
2.619e-001	-4.045e-006
2.618e-001	-3.910e-006
2.617e-001	-3.764e-006
2.616e-001	-3.838e-006
2.614e-001	-3.821e-006
2.613e-001	-3.755e-006
2.613e-001	-4.194e-006
2.612e-001	-4.114e-006
2.611e-001	-4.079e-006
2.610e-001	-4.000e-006
2.609e-001	-4.074e-006
2.608e-001	-3.863e-006
2.607e-001	-3.802e-006
2.606e-001	-4.297e-006
2.605e-001	-3.897e-006
2.604e-001	-3.802e-006
2.603e-001	-3.567e-006
2.602e-001	-3.961e-006
2.601e-001	-3.949e-006
2.600e-001	-3.884e-006
2.599e-001	-3.456e-006
2.598e-001	-3.610e-006
2.597e-001	-3.767e-006
2.596e-001	-3.442e-006
2.594e-001	-4.002e-006
2.594e-001	-4.115e-006
2.593e-001	-3.825e-006
2.592e-001	-3.734e-006
2.591e-001	-3.816e-006
2.589e-001	-3.887e-006
2.589e-001	-3.574e-006
2.588e-001	-4.068e-006
2.587e-001	-3.892e-006
2.586e-001	-4.224e-006
2.585e-001	-3.889e-006
2.584e-001	-4.075e-006
2.583e-001	-4.022e-006
2.581e-001	-4.099e-006
2.580e-001	-3.922e-006
2.580e-001	-3.820e-006
2.579e-001	-4.185e-006
2.578e-001	-3.614e-006
2.577e-001	-3.945e-006
2.576e-001	-3.777e-006
2.575e-001	-3.627e-006
2.574e-001	-3.739e-006
2.573e-001	-3.806e-006
2.572e-001	-4.024e-006
2.571e-001	-4.059e-006
2.570e-001	-3.672e-006
2.569e-001	-3.893e-006
2.568e-001	-3.940e-006
