XY					
	CURVE1 (new-5mmolar-14btmapaq-CV-nitrogen-300mvps.DTA)[BKS]		CURVE2 (new-5mmolar-14btmapaq-CV-nitrogen-300mvps.DTA)[BKS]		
-0.2012	-6.36E-06				
-0.2052	-6.65E-06				
-0.2092	-7.13E-06				
-0.2132	-7.43E-06				
-0.2171	-8.05E-06				
-0.2211	-7.15E-06				
-0.2251	-7.43E-06				
-0.2292	-7.92E-06				
-0.2331	-8.22E-06				
-0.2371	-8.84E-06				
-0.2411	-7.92E-06				
-0.2451	-8.21E-06				
-0.2491	-8.71E-06				
-0.2531	-9.01E-06				
-0.2571	-9.64E-06				
-0.2611	-8.76E-06				
-0.265	-9.09E-06				
-0.269	-9.67E-06				
-0.273	-1.01E-05				
-0.277	-1.08E-05				
-0.281	-1.01E-05				
-0.285	-1.07E-05				
-0.2889	-1.15E-05				
-0.2929	-1.22E-05				
-0.297	-1.33E-05				
-0.3009	-1.31E-05				
-0.3053	-1.45E-05				
-0.3093	-1.58E-05				
-0.3133	-1.74E-05				
-0.3173	-1.95E-05				
-0.3213	-2.04E-05				
-0.3253	-2.28E-05				
-0.3293	-2.58E-05				
-0.3333	-2.90E-05				
-0.3373	-3.29E-05				
-0.3413	-3.56E-05				
-0.3452	-4.00E-05				
-0.3492	-4.50E-05				
-0.3532	-5.02E-05				
-0.3572	-5.61E-05				
-0.3612	-6.08E-05				
-0.3652	-6.70E-05				
-0.3692	-7.38E-05				
-0.3731	-8.06E-05				
-0.3771	-8.81E-05				
-0.3812	-9.43E-05				
-0.3851	-1.02E-04				
-0.3891	-1.10E-04				
-0.3931	-1.19E-04				
-0.397	-1.28E-04				
-0.4011	-1.36E-04				
-0.405	-1.46E-04				
-0.409	-1.57E-04				
-0.413	-1.68E-04				
-0.417	-1.80E-04				
-0.4209	-1.92E-04				
-0.425	-2.05E-04				
-0.4289	-2.20E-04				
-0.433	-2.35E-04				
-0.4368	-2.51E-04				
-0.4411	-2.69E-04				
-0.4451	-2.85E-04				
-0.4491	-3.02E-04				
-0.4532	-3.17E-04				
-0.4571	-3.33E-04				
-0.4611	-3.47E-04				
-0.4651	-3.60E-04				
-0.4691	-3.72E-04				
-0.4731	-3.82E-04				
-0.4771	-3.91E-04				
-0.4811	-3.96E-04				
-0.4851	-3.99E-04				
-0.4891	-4.01E-04				
-0.493	-4.01E-04				
-0.4971	-4.00E-04				
-0.5011	-3.95E-04				
-0.5051	-3.90E-04				
-0.5091	-3.85E-04				
-0.5131	-3.79E-04				
-0.5171	-3.73E-04				
-0.5211	-3.65E-04				
-0.525	-3.58E-04				
-0.5291	-3.52E-04				
-0.533	-3.45E-04				
-0.537	-3.39E-04				
-0.5411	-3.32E-04				
-0.545	-3.26E-04				
-0.549	-3.21E-04				
