XY
	CURVE1 (new-5mmolar-15btmapaq-CV-nitrogen-1000mvps.DTA)[BKS]		CURVE2 (new-5mmolar-15btmapaq-CV-nitrogen-1000mvps.DTA)[BKS]
4.988e-001	6.271e-005	4.987e-001	6.287e-005
4.947e-001	5.706e-005		
4.907e-001	5.205e-005		
4.867e-001	4.917e-005		
4.828e-001	4.720e-005		
4.788e-001	4.458e-005		
4.747e-001	4.030e-005		
4.708e-001	3.835e-005		
4.667e-001	3.769e-005		
4.628e-001	3.560e-005		
4.588e-001	3.231e-005		
4.548e-001	3.069e-005		
4.508e-001	3.048e-005		
4.468e-001	2.934e-005		
4.428e-001	2.656e-005		
4.388e-001	2.456e-005		
4.348e-001	2.470e-005		
4.308e-001	2.406e-005		
4.268e-001	2.189e-005		
4.228e-001	1.950e-005		
4.188e-001	1.989e-005		
4.148e-001	1.992e-005		
4.109e-001	1.817e-005		
4.068e-001	1.607e-005		
4.028e-001	1.615e-005		
3.988e-001	1.608e-005		
3.949e-001	1.494e-005		
3.908e-001	1.306e-005		
3.869e-001	1.310e-005		
3.829e-001	1.364e-005		
3.789e-001	1.283e-005		
3.749e-001	1.076e-005		
3.708e-001	1.045e-005		
3.669e-001	1.151e-005		
3.629e-001	1.093e-005		
3.588e-001	9.106e-006		
3.549e-001	8.521e-006		
3.509e-001	9.473e-006		
3.469e-001	9.476e-006		
3.429e-001	7.683e-006		
3.389e-001	6.626e-006		
3.349e-001	7.583e-006		
3.309e-001	7.833e-006		
3.270e-001	6.530e-006		
3.229e-001	4.926e-006		
3.189e-001	6.006e-006		
3.149e-001	6.564e-006		
3.109e-001	5.388e-006		
3.070e-001	3.854e-006		
3.030e-001	4.572e-006		
2.989e-001	5.080e-006		
2.950e-001	4.323e-006		
2.910e-001	2.896e-006		
2.869e-001	3.261e-006		
2.830e-001	4.039e-006		
2.790e-001	3.790e-006		
2.750e-001	1.935e-006		
2.709e-001	1.896e-006		
2.670e-001	3.119e-006		
2.630e-001	2.856e-006		
2.590e-001	1.246e-006		
2.550e-001	8.387e-007		
2.510e-001	2.077e-006		
2.469e-001	2.221e-006		
2.430e-001	7.131e-007		
2.390e-001	-2.196e-007		
2.350e-001	9.714e-007		
2.310e-001	1.421e-006		
2.270e-001	1.521e-007		
2.230e-001	-1.325e-006		
2.190e-001	-1.194e-007		
2.150e-001	5.635e-007		
2.110e-001	-4.223e-007		
2.070e-001	-1.835e-006		
2.030e-001	-1.059e-006		
1.990e-001	-4.502e-007		
1.950e-001	-9.322e-007		
1.910e-001	-2.369e-006		
1.870e-001	-1.856e-006		
1.830e-001	-1.003e-006		
1.791e-001	-1.122e-006		
1.750e-001	-3.009e-006		
1.711e-001	-2.825e-006		
1.671e-001	-1.406e-006		
1.631e-001	-1.717e-006		
1.591e-001	-3.192e-006		
1.551e-001	-3.461e-006		
1.511e-001	-2.268e-006		
1.471e-001	-1.993e-006		
1.431e-001	-3.521e-006		
1.391e-001	-4.310e-006		
1.351e-001	-3.070e-006		
1.311e-001	-2.577e-006		
1.271e-001	-3.775e-006		
1.231e-001	-5.233e-006		
1.191e-001	-3.854e-006		
1.151e-001	-3.182e-006		
1.111e-001	-4.039e-006		
1.071e-001	-5.377e-006		
1.031e-001	-4.547e-006		
9.912e-002	-3.787e-006		
9.517e-002	-4.364e-006		
9.110e-002	-5.678e-006		
8.716e-002	-5.189e-006		
8.313e-002	-4.207e-006		
7.915e-002	-4.315e-006		
7.515e-002	-6.137e-006		
7.119e-002	-5.916e-006		
6.709e-002	-4.438e-006		
6.321e-002	-4.661e-006		
5.915e-002	-6.157e-006		
5.518e-002	-6.364e-006		
5.118e-002	-5.074e-006		
4.720e-002	-4.684e-006		
4.315e-002	-6.188e-006		
3.917e-002	-6.965e-006		
3.517e-002	-5.661e-006		
3.120e-002	-5.190e-006		
2.715e-002	-6.221e-006		
2.325e-002	-7.572e-006		
1.915e-002	-6.164e-006		
1.524e-002	-5.427e-006		
1.120e-002	-6.305e-006		
7.233e-003	-7.558e-006		
3.189e-003	-6.727e-006		
-7.546e-004	-5.861e-006		
-4.798e-003	-6.421e-006		
-8.732e-003	-7.694e-006		
-1.275e-002	-7.046e-006		
-1.679e-002	-6.215e-006		
-2.077e-002	-6.221e-006		
-2.474e-002	-7.895e-006		
-2.879e-002	-7.584e-006		
-3.273e-002	-6.211e-006		
-3.686e-002	-6.332e-006		
-4.073e-002	-7.782e-006		
-4.474e-002	-8.001e-006		
-4.870e-002	-6.664e-006		
-5.274e-002	-6.373e-006		
-5.669e-002	-7.766e-006		
-6.078e-002	-8.501e-006		
-6.470e-002	-7.079e-006		
-6.874e-002	-6.554e-006		
-7.269e-002	-7.571e-006		
-7.671e-002	-8.913e-006		
-8.068e-002	-7.593e-006		
-8.475e-002	-6.777e-006		
-8.866e-002	-7.671e-006		
-9.272e-002	-8.968e-006		
-9.668e-002	-7.928e-006		
-1.007e-001	-7.183e-006		
-1.047e-001	-7.609e-006		
-1.087e-001	-8.825e-006		
-1.127e-001	-8.266e-006		
-1.167e-001	-7.252e-006		
-1.207e-001	-7.331e-006		
-1.247e-001	-9.041e-006		
-1.286e-001	-8.831e-006		
-1.327e-001	-7.274e-006		
-1.366e-001	-7.352e-006		
-1.406e-001	-8.876e-006		
-1.447e-001	-8.978e-006		
-1.487e-001	-7.640e-006		
-1.526e-001	-7.282e-006		
-1.567e-001	-8.732e-006		
-1.606e-001	-9.415e-006		
-1.647e-001	-8.007e-006		
-1.686e-001	-7.465e-006		
-1.726e-001	-8.627e-006		
-1.766e-001	-9.899e-006		
-1.806e-001	-8.476e-006		
-1.846e-001	-7.700e-006		
-1.887e-001	-8.455e-006		
-1.926e-001	-9.711e-006		
-1.966e-001	-8.790e-006		
-2.006e-001	-8.032e-006		
-2.046e-001	-8.414e-006		
-2.086e-001	-9.670e-006		
-2.126e-001	-9.126e-006		
-2.166e-001	-8.133e-006		
-2.206e-001	-8.050e-006		
-2.246e-001	-9.772e-006		
-2.286e-001	-9.478e-006		
-2.325e-001	-7.907e-006		
-2.366e-001	-8.129e-006		
-2.406e-001	-9.517e-006		
-2.446e-001	-9.697e-006		
-2.486e-001	-8.364e-006		
-2.526e-001	-7.959e-006		
-2.565e-001	-9.190e-006		
-2.606e-001	-9.948e-006		
-2.645e-001	-8.574e-006		
-2.686e-001	-7.963e-006		
