XY
	CURVE1 (new-5mmolar-15btmapaq-CV-nitrogen-600mvps.DTA)[BKS]		CURVE2 (new-5mmolar-15btmapaq-CV-nitrogen-600mvps.DTA)[BKS]
4.988e-001	4.798e-005	4.987e-001	4.441e-005
4.947e-001	4.477e-005		
4.907e-001	4.185e-005		
4.867e-001	3.765e-005		
4.828e-001	3.518e-005		
4.788e-001	3.229e-005		
4.748e-001	3.069e-005		
4.708e-001	2.927e-005		
4.668e-001	2.647e-005		
4.627e-001	2.507e-005		
4.588e-001	2.306e-005		
4.548e-001	2.248e-005		
4.508e-001	2.184e-005		
4.468e-001	1.976e-005		
4.428e-001	1.901e-005		
4.388e-001	1.736e-005		
4.348e-001	1.731e-005		
4.308e-001	1.696e-005		
4.268e-001	1.536e-005		
4.229e-001	1.473e-005		
4.188e-001	1.345e-005		
4.148e-001	1.362e-005		
4.108e-001	1.354e-005		
4.069e-001	1.215e-005		
4.028e-001	1.183e-005		
3.989e-001	1.085e-005		
3.949e-001	1.107e-005		
3.908e-001	1.116e-005		
3.869e-001	9.840e-006		
3.829e-001	9.652e-006		
3.789e-001	8.626e-006		
3.749e-001	9.091e-006		
3.709e-001	9.313e-006		
3.669e-001	8.019e-006		
3.629e-001	8.006e-006		
3.589e-001	7.159e-006		
3.549e-001	7.613e-006		
3.509e-001	7.893e-006		
3.469e-001	6.774e-006		
3.429e-001	6.705e-006		
3.389e-001	5.906e-006		
3.349e-001	6.432e-006		
3.310e-001	6.766e-006		
3.269e-001	5.666e-006		
3.229e-001	5.657e-006		
3.189e-001	4.826e-006		
3.149e-001	5.411e-006		
3.109e-001	5.793e-006		
3.069e-001	4.706e-006		
3.029e-001	4.658e-006		
2.989e-001	3.900e-006		
2.949e-001	4.511e-006		
2.909e-001	4.942e-006		
2.869e-001	3.795e-006		
2.829e-001	3.858e-006		
2.789e-001	3.098e-006		
2.749e-001	3.656e-006		
2.710e-001	4.115e-006		
2.670e-001	3.079e-006		
2.629e-001	3.116e-006		
2.589e-001	2.392e-006		
2.550e-001	3.002e-006		
2.510e-001	3.448e-006		
2.469e-001	2.398e-006		
2.430e-001	2.453e-006		
2.390e-001	1.719e-006		
2.350e-001	2.336e-006		
2.310e-001	2.778e-006		
2.270e-001	1.722e-006		
2.230e-001	1.781e-006		
2.190e-001	1.106e-006		
2.150e-001	1.776e-006		
2.110e-001	2.270e-006		
2.070e-001	1.207e-006		
2.030e-001	1.288e-006		
1.990e-001	5.610e-007		
1.950e-001	1.201e-006		
1.911e-001	1.666e-006		
1.870e-001	6.147e-007		
1.831e-001	6.772e-007		
1.790e-001	-1.350e-008		
1.751e-001	6.431e-007		
1.710e-001	1.149e-006		
1.670e-001	1.164e-007		
1.631e-001	1.920e-007		
1.591e-001	-5.183e-007		
1.551e-001	2.054e-007		
1.511e-001	7.394e-007		
1.471e-001	-2.988e-007		
1.431e-001	-2.244e-007		
1.391e-001	-8.954e-007		
1.351e-001	-2.343e-007		
1.311e-001	3.463e-007		
1.271e-001	-6.986e-007		
1.231e-001	-6.404e-007		
1.191e-001	-1.310e-006		
1.151e-001	-5.777e-007		
1.111e-001	-6.037e-008		
1.071e-001	-1.053e-006		
1.031e-001	-9.910e-007		
9.913e-002	-1.721e-006		
9.514e-002	-9.499e-007		
9.109e-002	-4.255e-007		
8.713e-002	-1.366e-006		
8.316e-002	-1.296e-006		
7.914e-002	-2.018e-006		
7.514e-002	-1.289e-006		
7.121e-002	-7.256e-007		
6.711e-002	-1.664e-006		
6.319e-002	-1.554e-006		
5.915e-002	-2.238e-006		
5.516e-002	-1.571e-006		
5.116e-002	-1.008e-006		
4.719e-002	-1.972e-006		
4.320e-002	-1.905e-006		
3.922e-002	-2.616e-006		
3.519e-002	-1.819e-006		
3.119e-002	-1.240e-006		
2.716e-002	-2.276e-006		
2.323e-002	-2.090e-006		
1.919e-002	-2.863e-006		
