XY
	CURVE1 (new-5mmolar-15btmapaq-CV-nitrogen-100mvps.DTA)[BKS]		CURVE2 (new-5mmolar-15btmapaq-CV-nitrogen-100mvps.DTA)[BKS]
4.988e-001	1.314e-005	4.987e-001	1.008e-005
4.947e-001	8.836e-006		
4.908e-001	5.223e-006		
4.867e-001	4.895e-006		
4.828e-001	3.056e-006		
4.788e-001	2.438e-006		
4.748e-001	2.631e-006		
4.708e-001	1.145e-006		
4.668e-001	2.053e-006		
4.628e-001	1.030e-006		
4.589e-001	9.254e-007		
4.549e-001	1.440e-006		
4.509e-001	2.052e-007		
4.469e-001	1.281e-006		
4.429e-001	3.866e-007		
4.389e-001	3.840e-007		
4.349e-001	9.585e-007		
4.309e-001	-1.850e-007		
4.269e-001	9.195e-007		
4.229e-001	8.188e-008		
4.189e-001	1.181e-007		
4.149e-001	7.109e-007		
4.109e-001	-3.949e-007		
4.069e-001	7.294e-007		
4.029e-001	-1.025e-007		
3.989e-001	-2.465e-008		
3.949e-001	5.756e-007		
3.909e-001	-4.994e-007		
3.869e-001	6.343e-007		
3.830e-001	-1.832e-007		
3.790e-001	-8.953e-008		
3.750e-001	5.148e-007		
3.710e-001	-5.357e-007		
3.669e-001	5.841e-007		
3.630e-001	-2.160e-007		
3.589e-001	-1.201e-007		
3.550e-001	4.661e-007		
3.510e-001	-5.531e-007		
3.470e-001	5.554e-007		
3.430e-001	-2.441e-007		
3.390e-001	-1.406e-007		
3.350e-001	4.351e-007		
3.310e-001	-5.757e-007		
3.270e-001	5.178e-007		
3.230e-001	-2.844e-007		
3.190e-001	-1.734e-007		
3.150e-001	3.808e-007		
3.110e-001	-6.121e-007		
3.070e-001	4.666e-007		
3.030e-001	-3.400e-007		
2.990e-001	-2.185e-007		
2.950e-001	3.184e-007		
2.910e-001	-6.533e-007		
2.870e-001	4.030e-007		
2.830e-001	-3.915e-007		
2.790e-001	-2.684e-007		
2.750e-001	2.571e-007		
2.710e-001	-6.944e-007		
2.670e-001	3.476e-007		
2.630e-001	-4.407e-007		
2.590e-001	-3.018e-007		
2.551e-001	2.018e-007		
2.511e-001	-7.274e-007		
2.470e-001	2.927e-007		
2.431e-001	-4.894e-007		
2.391e-001	-3.523e-007		
2.351e-001	1.415e-007		
2.311e-001	-7.599e-007		
2.271e-001	2.356e-007		
2.231e-001	-5.245e-007		
2.191e-001	-3.833e-007		
2.151e-001	8.849e-008		
2.111e-001	-7.815e-007		
2.071e-001	1.946e-007		
2.031e-001	-5.621e-007		
1.991e-001	-4.103e-007		
1.951e-001	3.916e-008		
1.911e-001	-8.037e-007		
1.871e-001	1.535e-007		
1.831e-001	-5.994e-007		
1.791e-001	-4.389e-007		
1.751e-001	-6.140e-009		
1.711e-001	-8.261e-007		
1.671e-001	1.074e-007		
1.631e-001	-6.232e-007		
1.591e-001	-4.699e-007		
1.551e-001	-5.910e-008		
1.512e-001	-8.508e-007		
1.471e-001	6.223e-008		
1.431e-001	-6.570e-007		
1.392e-001	-4.972e-007		
1.352e-001	-1.003e-007		
1.312e-001	-8.578e-007		
1.272e-001	2.342e-008		
1.232e-001	-6.853e-007		
1.192e-001	-5.198e-007		
1.152e-001	-1.503e-007		
1.112e-001	-8.737e-007		
1.072e-001	-1.854e-008		
1.032e-001	-7.073e-007		
9.918e-002	-5.490e-007		
9.521e-002	-1.919e-007		
9.117e-002	-8.930e-007		
8.723e-002	-6.516e-008		
8.321e-002	-7.320e-007		
7.921e-002	-5.588e-007		
7.522e-002	-2.347e-007		
7.126e-002	-8.987e-007		
6.719e-002	-1.051e-007		
6.325e-002	-7.510e-007		
5.922e-002	-5.864e-007		
5.524e-002	-2.691e-007		
5.125e-002	-9.023e-007		
4.727e-002	-1.287e-007		
4.323e-002	-7.678e-007		
3.928e-002	-6.014e-007		
3.524e-002	-3.077e-007		
3.126e-002	-9.084e-007		
2.723e-002	-1.748e-007		
2.330e-002	-7.894e-007		
1.925e-002	-6.110e-007		
1.528e-002	-3.427e-007		
1.128e-002	-9.203e-007		
7.292e-003	-2.079e-007		
3.256e-003	-7.903e-007		
-6.753e-004	-6.203e-007		
-4.716e-003	-3.617e-007		
-8.677e-003	-9.220e-007		
-1.270e-002	-2.320e-007		
-1.669e-002	-8.030e-007		
-2.072e-002	-6.378e-007		
-2.469e-002	-3.896e-007		
