XY
	CURVE1 (new-5mmolar-14btmapaq-CV-nitrogen-300mvps.DTA)[BKS]		CURVE2 (new-5mmolar-14btmapaq-CV-nitrogen-300mvps.DTA)[BKS]
4.989e-001	4.632e-005	4.988e-001	3.544e-005
4.948e-001	3.922e-005		
4.908e-001	3.367e-005		
4.868e-001	2.970e-005		
4.828e-001	2.613e-005		
4.788e-001	2.466e-005		
4.749e-001	2.267e-005		
4.708e-001	2.047e-005		
4.667e-001	1.862e-005		
4.626e-001	1.675e-005		
4.588e-001	1.658e-005		
4.547e-001	1.562e-005		
4.509e-001	1.418e-005		
4.468e-001	1.320e-005		
4.428e-001	1.179e-005		
4.388e-001	1.209e-005		
4.349e-001	1.149e-005		
4.308e-001	1.039e-005		
4.269e-001	9.774e-006		
4.229e-001	8.672e-006		
4.189e-001	9.206e-006		
4.148e-001	8.858e-006		
4.109e-001	8.022e-006		
4.069e-001	7.585e-006		
4.029e-001	6.684e-006		
3.989e-001	7.419e-006		
3.949e-001	7.285e-006		
3.909e-001	6.617e-006		
3.869e-001	6.334e-006		
3.829e-001	5.606e-006		
3.789e-001	6.493e-006		
3.749e-001	6.428e-006		
3.709e-001	5.892e-006		
3.669e-001	5.685e-006		
3.629e-001	5.031e-006		
3.589e-001	5.954e-006		
3.549e-001	5.933e-006		
3.509e-001	5.413e-006		
3.470e-001	5.200e-006		
3.429e-001	4.598e-006		
3.389e-001	5.485e-006		
3.349e-001	5.460e-006		
3.309e-001	4.953e-006		
3.270e-001	4.750e-006		
3.230e-001	4.094e-006		
3.189e-001	5.002e-006		
3.149e-001	4.975e-006		
3.109e-001	4.401e-006		
3.069e-001	4.227e-006		
3.030e-001	3.544e-006		
2.990e-001	4.443e-006		
2.950e-001	4.403e-006		
2.910e-001	3.846e-006		
2.869e-001	3.651e-006		
2.830e-001	2.966e-006		
2.790e-001	3.869e-006		
2.750e-001	3.826e-006		
2.711e-001	3.274e-006		
2.670e-001	3.091e-006		
2.630e-001	2.422e-006		
2.590e-001	3.318e-006		
2.551e-001	3.243e-006		
2.511e-001	2.748e-006		
2.471e-001	2.518e-006		
2.430e-001	1.875e-006		
2.390e-001	2.801e-006		
2.350e-001	2.739e-006		
2.310e-001	2.265e-006		
2.271e-001	2.021e-006		
2.231e-001	1.383e-006		
2.191e-001	2.322e-006		
2.151e-001	2.253e-006		
2.111e-001	1.782e-006		
2.071e-001	1.544e-006		
2.031e-001	9.306e-007		
1.992e-001	1.873e-006		
1.951e-001	1.801e-006		
1.911e-001	1.312e-006		
1.872e-001	1.125e-006		
1.832e-001	4.643e-007		
1.792e-001	1.431e-006		
1.752e-001	1.368e-006		
1.711e-001	8.703e-007		
1.671e-001	6.928e-007		
1.632e-001	7.325e-008		
1.592e-001	1.028e-006		
1.552e-001	9.424e-007		
1.512e-001	4.778e-007		
1.472e-001	2.697e-007		
1.432e-001	-3.547e-007		
1.392e-001	6.178e-007		
1.352e-001	5.788e-007		
1.312e-001	1.064e-007		
1.272e-001	-1.173e-007		
1.232e-001	-7.226e-007		
1.192e-001	2.621e-007		
1.152e-001	1.918e-007		
1.113e-001	-3.066e-007		
1.072e-001	-5.214e-007		
1.033e-001	-1.084e-006		
9.924e-002	-1.264e-007		
9.528e-002	-1.948e-007		
9.123e-002	-6.605e-007		
8.727e-002	-8.867e-007		
8.326e-002	-1.485e-006		
7.929e-002	-4.990e-007		
7.526e-002	-5.821e-007		
7.133e-002	-1.054e-006		
6.725e-002	-1.239e-006		
6.329e-002	-1.853e-006		
5.927e-002	-8.711e-007		
5.529e-002	-9.394e-007		
5.126e-002	-1.403e-006		
4.734e-002	-1.596e-006		
4.327e-002	-2.198e-006		
3.941e-002	-1.235e-006		
3.528e-002	-1.317e-006		
3.131e-002	-1.780e-006		
2.727e-002	-1.926e-006		
2.335e-002	-2.565e-006		
1.926e-002	-1.571e-006		
1.545e-002	-1.659e-006		
1.130e-002	-2.112e-006		
7.362e-003	-2.303e-006		
3.283e-003	-2.876e-006		
-6.105e-004	-1.899e-006		
-4.717e-003	-1.992e-006		
-8.563e-003	-2.454e-006		
-1.266e-002	-2.630e-006		
-1.664e-002	-3.217e-006		
-2.069e-002	-2.222e-006		
-2.460e-002	-2.352e-006		
-2.871e-002	-2.787e-006		
-3.255e-002	-2.973e-006		
-3.671e-002	-3.546e-006		
-4.059e-002	-2.594e-006		
-4.467e-002	-2.684e-006		
-4.857e-002	-3.096e-006		
-5.268e-002	-3.268e-006		
-5.649e-002	-3.872e-006		
-6.068e-002	-2.890e-006		
-6.456e-002	-3.006e-006		
-6.864e-002	-3.462e-006		
-7.254e-002	-3.638e-006		
-7.667e-002	-4.147e-006		
-8.047e-002	-3.209e-006		
-8.465e-002	-3.297e-006		
-8.839e-002	-3.753e-006		
-9.258e-002	-3.916e-006		
-9.652e-002	-4.458e-006		
-1.006e-001	-3.491e-006		
-1.044e-001	-3.569e-006		
-1.086e-001	-4.000e-006		
-1.124e-001	-4.182e-006		
-1.166e-001	-4.742e-006		
-1.205e-001	-3.753e-006		
-1.246e-001	-3.844e-006		
-1.284e-001	-4.233e-006		
-1.326e-001	-4.440e-006		
-1.364e-001	-4.952e-006		
-1.404e-001	-3.966e-006		
-1.445e-001	-4.048e-006		
-1.485e-001	-4.441e-006		
-1.524e-001	-4.626e-006		
