XY
	CURVE1 (new-5mmolar-14btmapaq-CV-nitrogen-800mvps.DTA)[BKS]		CURVE2 (new-5mmolar-14btmapaq-CV-nitrogen-800mvps.DTA)[BKS]
4.988e-001	4.889e-005	4.987e-001	6.989e-005
4.947e-001	4.217e-005		
4.907e-001	3.600e-005		
4.867e-001	3.235e-005		
4.828e-001	2.914e-005		
4.788e-001	2.653e-005		
4.747e-001	2.348e-005		
4.708e-001	2.165e-005		
4.668e-001	2.038e-005		
4.628e-001	1.710e-005		
4.588e-001	1.612e-005		
4.548e-001	1.534e-005		
4.508e-001	1.287e-005		
4.468e-001	1.176e-005		
4.428e-001	1.062e-005		
4.388e-001	9.543e-006		
4.348e-001	7.968e-006		
4.309e-001	7.270e-006		
4.268e-001	6.972e-006		
4.229e-001	4.651e-006		
4.189e-001	4.468e-006		
4.148e-001	4.503e-006		
4.109e-001	2.597e-006		
4.069e-001	2.214e-006		
4.029e-001	1.758e-006		
3.989e-001	1.328e-006		
3.949e-001	3.221e-007		
3.909e-001	2.223e-007		
3.869e-001	6.410e-007		
3.829e-001	-1.297e-006		
3.789e-001	-8.386e-007		
3.749e-001	-3.150e-007		
3.709e-001	-1.655e-006		
3.669e-001	-1.506e-006		
3.629e-001	-1.589e-006		
3.589e-001	-1.615e-006		
3.549e-001	-2.273e-006		
3.509e-001	-2.044e-006		
3.469e-001	-1.392e-006		
3.429e-001	-2.980e-006		
3.389e-001	-2.339e-006		
3.349e-001	-1.648e-006		
3.309e-001	-2.803e-006		
3.269e-001	-2.677e-006		
3.229e-001	-2.665e-006		
3.189e-001	-2.701e-006		
3.149e-001	-3.282e-006		
3.110e-001	-3.104e-006		
3.069e-001	-2.519e-006		
3.030e-001	-4.219e-006		
2.989e-001	-3.650e-006		
2.949e-001	-2.922e-006		
2.909e-001	-4.258e-006		
2.869e-001	-4.157e-006		
2.830e-001	-4.253e-006		
2.790e-001	-4.294e-006		
2.750e-001	-5.004e-006		
2.709e-001	-4.885e-006		
2.670e-001	-4.287e-006		
2.630e-001	-6.021e-006		
2.590e-001	-5.357e-006		
2.550e-001	-4.777e-006		
2.510e-001	-6.105e-006		
2.470e-001	-5.947e-006		
2.430e-001	-6.042e-006		
2.390e-001	-6.159e-006		
2.350e-001	-6.824e-006		
2.310e-001	-6.688e-006		
2.270e-001	-6.041e-006		
2.230e-001	-7.806e-006		
2.190e-001	-7.237e-006		
2.150e-001	-6.611e-006		
2.110e-001	-7.889e-006		
2.070e-001	-7.742e-006		
2.030e-001	-7.749e-006		
1.990e-001	-7.822e-006		
1.950e-001	-8.511e-006		
1.911e-001	-8.341e-006		
1.870e-001	-7.664e-006		
1.830e-001	-9.438e-006		
1.791e-001	-8.760e-006		
1.751e-001	-8.134e-006		
1.710e-001	-9.428e-006		
1.670e-001	-9.306e-006		
1.631e-001	-9.358e-006		
1.591e-001	-9.377e-006		
1.551e-001	-9.987e-006		
1.511e-001	-9.795e-006		
1.471e-001	-9.249e-006		
1.431e-001	-1.089e-005		
1.391e-001	-1.025e-005		
1.351e-001	-9.611e-006		
1.311e-001	-1.080e-005		
