XY
	CURVE1 (new-5mmolar-14btmapaq-CV-nitrogen-600mvps.DTA)[BKS]		CURVE2 (new-5mmolar-14btmapaq-CV-nitrogen-600mvps.DTA)[BKS]
4.988e-001	5.307e-005	4.987e-001	5.647e-005
4.947e-001	4.494e-005		
4.907e-001	4.030e-005		
4.867e-001	3.459e-005		
4.828e-001	3.178e-005		
4.787e-001	2.892e-005		
4.747e-001	2.607e-005		
4.708e-001	2.469e-005		
4.668e-001	2.118e-005		
4.628e-001	2.001e-005		
4.588e-001	1.843e-005		
4.548e-001	1.676e-005		
4.508e-001	1.615e-005		
4.468e-001	1.341e-005		
4.428e-001	1.287e-005		
4.388e-001	1.189e-005		
4.348e-001	1.076e-005		
4.308e-001	1.065e-005		
4.268e-001	8.259e-006		
4.228e-001	8.131e-006		
4.188e-001	7.473e-006		
4.148e-001	6.917e-006		
4.108e-001	7.366e-006		
4.068e-001	5.192e-006		
4.029e-001	5.431e-006		
3.989e-001	4.958e-006		
3.948e-001	4.324e-006		
3.908e-001	4.845e-006		
3.869e-001	2.975e-006		
3.829e-001	3.356e-006		
3.789e-001	3.172e-006		
3.749e-001	2.822e-006		
3.708e-001	3.525e-006		
3.669e-001	1.758e-006		
3.629e-001	2.312e-006		
3.589e-001	2.258e-006		
3.549e-001	2.038e-006		
3.509e-001	2.772e-006		
3.469e-001	1.129e-006		
3.429e-001	1.718e-006		
3.389e-001	1.718e-006		
3.349e-001	1.492e-006		
3.309e-001	2.217e-006		
3.269e-001	6.030e-007		
3.229e-001	1.190e-006		
3.189e-001	1.081e-006		
3.149e-001	8.951e-007		
3.109e-001	1.596e-006		
3.070e-001	-6.337e-008		
3.029e-001	4.462e-007		
2.989e-001	3.388e-007		
2.949e-001	5.599e-008		
2.910e-001	8.264e-007		
2.869e-001	-8.694e-007		
2.829e-001	-3.909e-007		
2.790e-001	-4.888e-007		
2.749e-001	-7.789e-007		
2.709e-001	-1.750e-008		
2.670e-001	-1.712e-006		
2.630e-001	-1.216e-006		
2.590e-001	-1.310e-006		
2.550e-001	-1.588e-006		
2.510e-001	-8.713e-007		
2.470e-001	-2.543e-006		
2.430e-001	-2.077e-006		
2.390e-001	-2.128e-006		
2.350e-001	-2.364e-006		
2.310e-001	-1.675e-006		
2.270e-001	-3.311e-006		
2.230e-001	-2.793e-006		
2.190e-001	-2.860e-006		
2.150e-001	-3.107e-006		
2.110e-001	-2.356e-006		
2.070e-001	-3.945e-006		
2.030e-001	-3.521e-006		
1.990e-001	-3.548e-006		
1.950e-001	-3.789e-006		
1.911e-001	-3.002e-006		
1.870e-001	-4.717e-006		
1.830e-001	-4.205e-006		
1.790e-001	-4.228e-006		
1.751e-001	-4.453e-006		
1.710e-001	-3.698e-006		
1.670e-001	-5.332e-006		
1.631e-001	-4.792e-006		
1.591e-001	-4.912e-006		
1.551e-001	-5.078e-006		
1.511e-001	-4.270e-006		
1.471e-001	-5.904e-006		
1.430e-001	-5.429e-006		
1.391e-001	-5.492e-006		
1.351e-001	-5.706e-006		
1.311e-001	-4.883e-006		
1.271e-001	-6.518e-006		
1.231e-001	-6.010e-006		
1.191e-001	-6.040e-006		
1.151e-001	-6.266e-006		
1.111e-001	-5.397e-006		
1.071e-001	-7.035e-006		
1.031e-001	-6.524e-006		
9.912e-002	-6.584e-006		
9.510e-002	-6.796e-006		
9.108e-002	-5.866e-006		
8.716e-002	-7.510e-006		
8.313e-002	-7.031e-006		
7.914e-002	-7.087e-006		
7.515e-002	-7.280e-006		
7.116e-002	-6.416e-006		
6.712e-002	-8.027e-006		
6.317e-002	-7.483e-006		
5.916e-002	-7.555e-006		
5.516e-002	-7.724e-006		
5.116e-002	-6.924e-006		
4.719e-002	-8.485e-006		
4.317e-002	-7.929e-006		
3.919e-002	-8.030e-006		
3.519e-002	-8.131e-006		
3.119e-002	-7.305e-006		
2.716e-002	-8.876e-006		
2.321e-002	-8.277e-006		
1.919e-002	-8.394e-006		
1.524e-002	-8.625e-006		
1.121e-002	-7.671e-006		
7.240e-003	-9.298e-006		
3.221e-003	-8.762e-006		
-7.663e-004	-8.798e-006		
-4.775e-003	-8.935e-006		
-8.750e-003	-8.099e-006		
-1.276e-002	-9.611e-006		
-1.675e-002	-9.094e-006		
-2.079e-002	-9.146e-006		
-2.476e-002	-9.324e-006		
-2.878e-002	-8.440e-006		
-3.275e-002	-1.002e-005		
-3.679e-002	-9.535e-006		
-4.072e-002	-9.555e-006		
-4.476e-002	-9.627e-006		
-4.874e-002	-8.813e-006		
-5.275e-002	-1.037e-005		
-5.669e-002	-9.839e-006		
-6.075e-002	-9.881e-006		
-6.470e-002	-1.001e-005		
-6.871e-002	-9.125e-006		
-7.268e-002	-1.067e-005		
-7.674e-002	-1.018e-005		
-8.068e-002	-1.022e-005		
-8.468e-002	-1.029e-005		
-8.865e-002	-9.471e-006		
-9.271e-002	-1.098e-005		
-9.667e-002	-1.049e-005		
-1.007e-001	-1.054e-005		
-1.047e-001	-1.064e-005		
-1.087e-001	-9.728e-006		
-1.126e-001	-1.129e-005		
-1.167e-001	-1.077e-005		
-1.207e-001	-1.087e-005		
-1.247e-001	-1.094e-005		
-1.286e-001	-1.006e-005		
-1.327e-001	-1.160e-005		
-1.366e-001	-1.105e-005		
-1.406e-001	-1.108e-005		
-1.446e-001	-1.117e-005		
-1.487e-001	-1.034e-005		
-1.526e-001	-1.189e-005		
-1.567e-001	-1.134e-005		
-1.606e-001	-1.136e-005		
-1.647e-001	-1.153e-005		
-1.686e-001	-1.052e-005		
-1.726e-001	-1.210e-005		
-1.766e-001	-1.160e-005		
-1.806e-001	-1.168e-005		
-1.846e-001	-1.175e-005		
-1.887e-001	-1.079e-005		
-1.926e-001	-1.232e-005		
-1.966e-001	-1.188e-005		
-2.006e-001	-1.191e-005		
-2.046e-001	-1.194e-005		
-2.086e-001	-1.104e-005		
-2.126e-001	-1.260e-005		
-2.165e-001	-1.202e-005		
-2.206e-001	-1.206e-005		
-2.246e-001	-1.223e-005		
-2.286e-001	-1.129e-005		
-2.325e-001	-1.283e-005		
-2.366e-001	-1.223e-005		
-2.405e-001	-1.225e-005		
-2.446e-001	-1.242e-005		
-2.485e-001	-1.146e-005		
-2.526e-001	-1.299e-005		
-2.565e-001	-1.252e-005		
-2.606e-001	-1.256e-005		
-2.645e-001	-1.264e-005		
-2.685e-001	-1.173e-005		
-2.725e-001	-1.319e-005		
-2.765e-001	-1.264e-005		
-2.805e-001	-1.270e-005		
-2.845e-001	-1.276e-005		
-2.885e-001	-1.187e-005		
-2.926e-001	-1.340e-005		
-2.965e-001	-1.283e-005		
-3.005e-001	-1.287e-005		
-3.045e-001	-1.296e-005		
-3.085e-001	-1.206e-005		
-3.125e-001	-1.358e-005		
-3.165e-001	-1.304e-005		
-3.205e-001	-1.319e-005		
-3.245e-001	-1.326e-005		
-3.285e-001	-1.238e-005		
-3.325e-001	-1.397e-005		
-3.365e-001	-1.352e-005		
-3.405e-001	-1.371e-005		
-3.445e-001	-1.379e-005		
-3.485e-001	-1.301e-005		
-3.525e-001	-1.459e-005		
-3.565e-001	-1.420e-005		
-3.605e-001	-1.440e-005		
-3.644e-001	-1.452e-005		
-3.684e-001	-1.380e-005		
-3.724e-001	-1.554e-005		
-3.764e-001	-1.520e-005		
-3.804e-001	-1.553e-005		
-3.844e-001	-1.567e-005		
-3.884e-001	-1.502e-005		
-3.924e-001	-1.669e-005		
-3.964e-001	-1.636e-005		
-4.004e-001	-1.661e-005		
-4.044e-001	-1.689e-005		
-4.084e-001	-1.619e-005		
-4.124e-001	-1.785e-005		
-4.164e-001	-1.756e-005		
-4.204e-001	-1.789e-005		
-4.244e-001	-1.805e-005		
-4.284e-001	-1.734e-005		
-4.324e-001	-1.898e-005		
-4.364e-001	-1.868e-005		
-4.404e-001	-1.895e-005		
-4.444e-001	-1.912e-005		
-4.484e-001	-1.839e-005		
-4.524e-001	-1.999e-005		
-4.564e-001	-1.972e-005		
-4.604e-001	-2.000e-005		
-4.643e-001	-2.017e-005		
-4.684e-001	-1.946e-005		
-4.723e-001	-2.112e-005		
-4.763e-001	-2.091e-005		
-4.804e-001	-2.137e-005		
-4.843e-001	-2.179e-005		
-4.883e-001	-2.135e-005		
-4.923e-001	-2.342e-005		
-4.963e-001	-2.361e-005		
-5.003e-001	-2.460e-005		
-5.043e-001	-2.566e-005		
-5.083e-001	-2.608e-005		
-5.123e-001	-2.915e-005		
-5.163e-001	-3.061e-005		
-5.203e-001	-3.316e-005		
-5.243e-001	-3.591e-005		
-5.283e-001	-3.837e-005		
-5.323e-001	-4.367e-005		
-5.363e-001	-4.762e-005		
-5.402e-001	-5.291e-005		
-5.442e-001	-5.870e-005		
-5.483e-001	-6.423e-005		
-5.522e-001	-7.261e-005		
-5.562e-001	-7.972e-005		
-5.602e-001	-8.800e-005		
-5.642e-001	-9.658e-005		
-5.682e-001	-1.048e-004		
-5.722e-001	-1.156e-004		
-5.761e-001	-1.249e-004		
-5.801e-001	-1.352e-004		
-5.841e-001	-1.454e-004		
-5.881e-001	-1.553e-004		
-5.921e-001	-1.678e-004		
-5.960e-001	-1.789e-004		
-6.001e-001	-1.911e-004		
-6.040e-001	-2.038e-004		
-6.080e-001	-2.161e-004		
-6.120e-001	-2.315e-004		
-6.160e-001	-2.461e-004		
-6.202e-001	-2.660e-004		
-6.242e-001	-2.829e-004		
-6.282e-001	-3.003e-004		
-6.322e-001	-3.210e-004		
-6.362e-001	-3.409e-004		
-6.402e-001	-3.625e-004		
-6.442e-001	-3.845e-004		
-6.482e-001	-4.062e-004		
-6.522e-001	-4.301e-004		
-6.562e-001	-4.519e-004		
-6.601e-001	-4.736e-004		
-6.641e-001	-4.941e-004		
-6.681e-001	-5.123e-004		
-6.721e-001	-5.309e-004		
-6.762e-001	-5.454e-004		
-6.801e-001	-5.582e-004		
-6.841e-001	-5.681e-004		
-6.881e-001	-5.742e-004		
-6.921e-001	-5.795e-004		
-6.961e-001	-5.803e-004		
-7.001e-001	-5.792e-004		
-7.041e-001	-5.754e-004		
-7.081e-001	-5.689e-004		
-7.121e-001	-5.631e-004		
-7.161e-001	-5.544e-004		
-7.201e-001	-5.456e-004		
-7.241e-001	-5.360e-004		
-7.281e-001	-5.254e-004		
-7.321e-001	-5.170e-004		
-7.361e-001	-5.069e-004		
-7.401e-001	-4.978e-004		
-7.440e-001	-4.888e-004		
-7.481e-001	-4.793e-004		
-7.521e-001	-4.726e-004		
-7.560e-001	-4.643e-004		
-7.601e-001	-4.572e-004		
-7.640e-001	-4.500e-004		
-7.681e-001	-4.427e-004		
-7.720e-001	-4.377e-004		
-7.760e-001	-4.314e-004		
-7.801e-001	-4.259e-004		
-7.840e-001	-4.203e-004		
-7.880e-001	-4.142e-004		
-7.920e-001	-4.104e-004		
-7.960e-001	-4.050e-004		
-8.001e-001	-4.005e-004		
-8.040e-001	-3.957e-004		
-8.080e-001	-3.904e-004		
-8.120e-001	-3.873e-004		
-8.160e-001	-3.826e-004		
-8.199e-001	-3.786e-004		
-8.240e-001	-3.745e-004		
-8.279e-001	-3.698e-004		
-8.319e-001	-3.672e-004		
-8.359e-001	-3.630e-004		
-8.400e-001	-3.596e-004		
-8.439e-001	-3.559e-004		
-8.479e-001	-3.517e-004		
-8.519e-001	-3.497e-004		
-8.560e-001	-3.460e-004		
-8.599e-001	-3.431e-004		
-8.639e-001	-3.400e-004		
-8.679e-001	-3.361e-004		
-8.719e-001	-3.346e-004		
-8.759e-001	-3.314e-004		
-8.799e-001	-3.289e-004		
-8.839e-001	-3.263e-004		
-8.879e-001	-3.229e-004		
-8.919e-001	-3.217e-004		
-8.959e-001	-3.188e-004		
-8.999e-001	-3.167e-004		
-9.039e-001	-3.143e-004		
-9.079e-001	-3.113e-004		
-9.119e-001	-3.104e-004		
-9.158e-001	-3.078e-004		
-9.199e-001	-3.060e-004		
-9.238e-001	-3.038e-004		
-9.279e-001	-3.011e-004		
-9.318e-001	-3.007e-004		
-9.359e-001	-2.983e-004		
-9.399e-001	-2.968e-004		
-9.439e-001	-2.949e-004		
-9.478e-001	-2.926e-004		
-9.519e-001	-2.923e-004		
-9.558e-001	-2.907e-004		
-9.598e-001	-2.893e-004		
-9.638e-001	-2.877e-004		
-9.678e-001	-2.855e-004		
-9.718e-001	-2.852e-004		
-9.759e-001	-2.833e-004		
-9.798e-001	-2.821e-004		
-9.839e-001	-2.805e-004		
-9.878e-001	-2.782e-004		
-9.918e-001	-2.780e-004		
-9.958e-001	-2.762e-004		
-9.998e-001	-2.751e-004		
-9.958e-001	-2.605e-004		
-9.918e-001	-2.509e-004		
-9.878e-001	-2.457e-004		
-9.839e-001	-2.400e-004		
-9.798e-001	-2.358e-004		
-9.759e-001	-2.318e-004		
-9.718e-001	-2.275e-004		
-9.679e-001	-2.256e-004		
-9.636e-001	-2.210e-004		
-9.596e-001	-2.188e-004		
-9.557e-001	-2.162e-004		
-9.517e-001	-2.131e-004		
-9.476e-001	-2.122e-004		
-9.437e-001	-2.097e-004		
-9.397e-001	-2.081e-004		
-9.357e-001	-2.060e-004		
-9.317e-001	-2.034e-004		
-9.277e-001	-2.030e-004		
-9.237e-001	-2.008e-004		
-9.197e-001	-1.995e-004		
-9.157e-001	-1.976e-004		
-9.117e-001	-1.954e-004		
-9.077e-001	-1.951e-004		
-9.037e-001	-1.932e-004		
-8.997e-001	-1.920e-004		
-8.958e-001	-1.904e-004		
-8.917e-001	-1.883e-004		
-8.877e-001	-1.882e-004		
-8.837e-001	-1.865e-004		
-8.798e-001	-1.853e-004		
-8.757e-001	-1.839e-004		
-8.718e-001	-1.818e-004		
-8.678e-001	-1.818e-004		
-8.638e-001	-1.801e-004		
-8.597e-001	-1.792e-004		
-8.558e-001	-1.778e-004		
-8.518e-001	-1.758e-004		
-8.478e-001	-1.757e-004		
-8.438e-001	-1.741e-004		
-8.398e-001	-1.731e-004		
-8.358e-001	-1.716e-004		
-8.318e-001	-1.696e-004		
-8.278e-001	-1.696e-004		
-8.238e-001	-1.680e-004		
-8.198e-001	-1.669e-004		
-8.159e-001	-1.654e-004		
-8.118e-001	-1.631e-004		
-8.079e-001	-1.630e-004		
-8.038e-001	-1.610e-004		
-7.999e-001	-1.598e-004		
-7.959e-001	-1.580e-004		
-7.919e-001	-1.555e-004		
-7.879e-001	-1.551e-004		
-7.839e-001	-1.530e-004		
-7.799e-001	-1.515e-004		
-7.759e-001	-1.494e-004		
-7.719e-001	-1.466e-004		
-7.679e-001	-1.457e-004		
-7.639e-001	-1.432e-004		
-7.599e-001	-1.413e-004		
-7.559e-001	-1.388e-004		
-7.520e-001	-1.357e-004		
-7.479e-001	-1.344e-004		
-7.440e-001	-1.314e-004		
-7.400e-001	-1.289e-004		
-7.360e-001	-1.256e-004		
-7.320e-001	-1.216e-004		
-7.281e-001	-1.194e-004		
-7.240e-001	-1.152e-004		
-7.200e-001	-1.113e-004		
-7.161e-001	-1.064e-004		
-7.121e-001	-1.004e-004		
-7.081e-001	-9.574e-005		
-7.040e-001	-8.884e-005		
-7.001e-001	-8.186e-005		
-6.961e-001	-7.334e-005		
-6.921e-001	-6.347e-005		
-6.881e-001	-5.459e-005		
-6.842e-001	-4.306e-005		
-6.802e-001	-3.124e-005		
-6.762e-001	-1.784e-005		
-6.722e-001	-3.045e-006		
-6.682e-001	1.064e-005		
-6.643e-001	2.668e-005		
-6.603e-001	4.263e-005		
-6.563e-001	5.965e-005		
-6.523e-001	7.741e-005		
-6.483e-001	9.348e-005		
-6.443e-001	1.110e-004		
-6.404e-001	1.277e-004		
-6.364e-001	1.444e-004		
-6.324e-001	1.614e-004		
-6.285e-001	1.760e-004		
-6.245e-001	1.915e-004		
-6.205e-001	2.055e-004		
-6.165e-001	2.193e-004		
-6.126e-001	2.330e-004		
-6.086e-001	2.439e-004		
-6.046e-001	2.554e-004		
-6.006e-001	2.653e-004		
-5.966e-001	2.750e-004		
-5.923e-001	2.852e-004		
-5.883e-001	2.911e-004		
-5.843e-001	2.975e-004		
-5.803e-001	3.022e-004		
-5.763e-001	3.064e-004		
-5.723e-001	3.099e-004		
-5.683e-001	3.107e-004		
-5.643e-001	3.119e-004		
-5.604e-001	3.114e-004		
-5.563e-001	3.108e-004		
-5.523e-001	3.097e-004		
-5.483e-001	3.062e-004		
-5.443e-001	3.035e-004		
-5.403e-001	2.998e-004		
-5.364e-001	2.962e-004		
-5.323e-001	2.929e-004		
-5.283e-001	2.873e-004		
-5.243e-001	2.832e-004		
-5.204e-001	2.784e-004		
-5.163e-001	2.740e-004		
-5.123e-001	2.703e-004		
-5.084e-001	2.647e-004		
-5.044e-001	2.605e-004		
-5.004e-001	2.559e-004		
-4.964e-001	2.520e-004		
-4.924e-001	2.487e-004		
-4.883e-001	2.437e-004		
-4.844e-001	2.401e-004		
-4.806e-001	2.365e-004		
-4.767e-001	2.335e-004		
-4.726e-001	2.308e-004		
-4.686e-001	2.266e-004		
-4.646e-001	2.239e-004		
-4.607e-001	2.205e-004		
-4.567e-001	2.180e-004		
-4.527e-001	2.160e-004		
-4.487e-001	2.123e-004		
-4.447e-001	2.102e-004		
-4.406e-001	2.074e-004		
-4.367e-001	2.054e-004		
-4.327e-001	2.039e-004		
-4.287e-001	2.007e-004		
-4.247e-001	1.990e-004		
-4.207e-001	1.966e-004		
-4.167e-001	1.951e-004		
-4.127e-001	1.939e-004		
-4.087e-001	1.911e-004		
-4.047e-001	1.895e-004		
-4.007e-001	1.875e-004		
-3.967e-001	1.862e-004		
-3.926e-001	1.852e-004		
-3.887e-001	1.825e-004		
-3.846e-001	1.812e-004		
-3.807e-001	1.792e-004		
-3.767e-001	1.779e-004		
-3.727e-001	1.771e-004		
-3.687e-001	1.745e-004		
-3.647e-001	1.732e-004		
-3.606e-001	1.712e-004		
-3.567e-001	1.701e-004		
-3.527e-001	1.693e-004		
-3.487e-001	1.667e-004		
-3.447e-001	1.654e-004		
-3.407e-001	1.635e-004		
-3.367e-001	1.623e-004		
-3.327e-001	1.616e-004		
-3.287e-001	1.590e-004		
-3.247e-001	1.578e-004		
-3.207e-001	1.558e-004		
-3.167e-001	1.547e-004		
-3.127e-001	1.539e-004		
-3.087e-001	1.514e-004		
-3.047e-001	1.502e-004		
-3.007e-001	1.483e-004		
-2.967e-001	1.473e-004		
-2.928e-001	1.465e-004		
-2.887e-001	1.441e-004		
-2.847e-001	1.431e-004		
-2.807e-001	1.413e-004		
-2.767e-001	1.403e-004		
-2.727e-001	1.397e-004		
-2.687e-001	1.374e-004		
-2.647e-001	1.364e-004		
-2.607e-001	1.347e-004		
-2.567e-001	1.339e-004		
-2.528e-001	1.335e-004		
-2.487e-001	1.314e-004		
-2.447e-001	1.306e-004		
-2.407e-001	1.290e-004		
-2.367e-001	1.283e-004		
-2.327e-001	1.280e-004		
-2.288e-001	1.259e-004		
-2.247e-001	1.251e-004		
-2.207e-001	1.237e-004		
-2.167e-001	1.231e-004		
-2.127e-001	1.230e-004		
-2.087e-001	1.211e-004		
-2.048e-001	1.206e-004		
-2.008e-001	1.193e-004		
