430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700	705	710	715	720	725	730	735	740	745	750	755	760	765	770	775	780	785	790	795	800	805	810	815	820	825	830	835	840	845	850
26456	625	161	157	154	152	165	165	163	168	171	172	183	177	168	165	154	151	151	142	132	134	126	126	116	107	101	105	95	98	90	94	91	91	88	87	88	81	86	78	80	77	75	76	69	75	72	63	79	69	63	64	70	75	70	65	68	62	56	56	55	50	63	53	59	63	62	70	60	64	62	72	87	86	80	95	103	111	111	148	181	260	321	452	592
21628	509	174	161	164	172	183	197	204	217	238	252	266	265	272	270	263	253	254	250	232	225	216	209	200	194	177	168	163	160	144	140	130	124	117	120	106	101	97	94	91	98	85	85	74	86	76	68	73	68	68	62	71	67	68	63	62	61	57	56	56	52	61	55	46	64	57	69	59	66	65	74	79	86	88	94	88	100	113	149	187	226	361	457	611
18065	477	204	188	200	197	208	226	225	238	244	261	281	273	275	273	267	253	239	227	223	208	191	173	164	146	137	123	113	104	107	91	82	79	64	71	62	59	57	55	49	48	46	47	51	45	42	42	48	51	49	41	53	53	51	46	50	54	47	37	40	40	47	45	43	52	54	60	55	61	61	69	69	80	88	91	85	94	105	143	183	255	320	420	719
20481	527	249	281	351	407	445	477	501	501	515	518	514	484	456	398	367	344	334	303	289	272	249	236	228	230	211	218	203	217	210	214	209	200	208	199	191	187	186	173	178	170	173	168	150	149	143	144	133	128	124	122	117	123	107	103	100	99	83	74	80	70	82	73	66	75	71	83	68	79	73	78	82	83	96	98	96	104	116	144	179	231	355	465	610
21861	533	179	174	185	194	202	215	231	237	270	298	314	340	339	343	341	320	326	306	298	291	269	251	252	218	218	199	183	173	166	148	147	131	126	120	106	104	91	96	85	87	78	78	72	77	64	65	65	65	58	57	62	67	64	59	64	65	55	45	50	49	55	54	46	58	54	64	57	69	63	72	78	80	79	96	103	111	116	151	190	262	317	440	600
23921	594	209	192	197	211	218	239	250	272	290	326	367	394	404	403	394	368	361	349	333	313	285	267	237	221	194	173	155	141	128	118	109	89	87	75	71	66	60	59	48	52	46	48	51	49	49	42	48	48	41	50	53	54	45	48	48	51	46	41	45	41	49	45	43	54	52	61	50	61	57	72	71	94	95	93	94	111	110	137	174	250	321	485	645
20451	787	744	1043	1590	1986	2334	2594	2760	2893	2955	2989	2959	2797	2535	2251	2066	1909	1688	1517	1355	1195	1078	915	841	702	628	563	504	454	390	360	324	294	250	247	216	205	200	171	172	159	149	141	129	120	120	118	121	113	115	109	105	107	94	84	84	92	79	74	82	69	74	66	64	75	78	83	67	79	72	85	88	101	105	101	90	117	130	160	187	267	324	474	636
28504	16028	29244	45581	67773	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	66176	58054	51949	44983	39745	33858	29260	24971	21703	18856	15941	13878	11946	10008	8734	7334	6171	5369	4569	3822	3341	2883	2452	2125	1747	1547	1403	1193	1028	934	803	722	612	556	493	422	366	321	294	264	222	208	189	172	172	154	144	145	123	126	107	117	101	115	115	114	111	111	120	135	130	166	199	275	326	471	595
19506	499	214	203	195	209	220	218	230	219	219	210	204	208	190	174	167	158	156	145	133	125	120	109	104	94	93	89	82	85	76	71	64	65	63	56	53	54	52	52	47	50	44	48	48	50	48	44	44	43	43	47	53	52	54	42	51	51	47	43	43	41	49	44	41	54	53	61	53	63	61	71	75	84	81	90	101	110	111	147	174	247	312	466	605
18538	746	719	1020	1489	1887	2198	2469	2588	2693	2775	2799	2739	2586	2375	2079	1884	1707	1576	1348	1233	1079	960	826	719	611	524	506	426	381	328	285	265	237	207	194	170	151	137	133	114	110	102	97	98	96	87	78	86	74	71	73	75	81	68	63	68	72	65	57	58	56	57	55	56	66	58	71	60	72	61	76	86	93	101	93	99	109	115	149	179	267	317	462	638
