XY
	CURVE1 (new-5mmolar-18btmapaq-CV-nitrogen-800mvps.DTA)[BKS]		CURVE2 (new-5mmolar-18btmapaq-CV-nitrogen-800mvps.DTA)[BKS]
4.989e-001	3.504e-005	4.988e-001	2.869e-005
4.949e-001	3.111e-005		
4.910e-001	2.640e-005		
4.870e-001	2.457e-005		
4.830e-001	2.244e-005		
4.790e-001	2.053e-005		
4.750e-001	1.794e-005		
4.709e-001	1.782e-005		
4.670e-001	1.665e-005		
4.630e-001	1.312e-005		
4.590e-001	1.449e-005		
4.550e-001	1.360e-005		
4.511e-001	1.121e-005		
4.470e-001	1.116e-005		
4.430e-001	1.045e-005		
4.390e-001	9.835e-006		
4.350e-001	8.337e-006		
4.310e-001	9.084e-006		
4.271e-001	8.686e-006		
4.230e-001	5.860e-006		
4.190e-001	7.796e-006		
4.150e-001	7.453e-006		
4.110e-001	5.397e-006		
4.070e-001	5.913e-006		
4.031e-001	5.584e-006		
3.990e-001	5.278e-006		
3.950e-001	4.109e-006		
3.910e-001	5.167e-006		
3.870e-001	5.033e-006		
3.830e-001	2.361e-006		
3.791e-001	4.546e-006		
3.751e-001	4.425e-006		
3.710e-001	2.670e-006		
3.670e-001	3.287e-006		
3.630e-001	3.087e-006		
3.590e-001	2.897e-006		
3.551e-001	1.879e-006		
3.511e-001	3.019e-006		
3.471e-001	2.994e-006		
3.430e-001	5.218e-007		
3.390e-001	2.771e-006		
3.350e-001	2.670e-006		
3.311e-001	1.088e-006		
3.271e-001	1.742e-006		
3.231e-001	1.671e-006		
3.190e-001	1.504e-006		
3.150e-001	5.900e-007		
3.110e-001	1.765e-006		
3.071e-001	1.821e-006		
3.030e-001	-6.836e-007		
2.992e-001	1.574e-006		
2.951e-001	1.553e-006		
2.910e-001	-1.343e-007		
2.871e-001	6.693e-007		
2.830e-001	5.238e-007		
2.791e-001	4.868e-007		
2.751e-001	-4.616e-007		
2.711e-001	7.436e-007		
2.670e-001	8.069e-007		
2.631e-001	-1.655e-006		
2.590e-001	7.271e-007		
2.550e-001	6.948e-007		
2.511e-001	-1.009e-006		
2.471e-001	-1.392e-007		
2.431e-001	-2.630e-007		
2.390e-001	-3.398e-007		
2.350e-001	-1.214e-006		
2.310e-001	1.233e-008		
2.271e-001	9.432e-008		
2.231e-001	-2.326e-006		
2.191e-001	4.950e-008		
2.151e-001	3.349e-008		
2.111e-001	-1.616e-006		
2.071e-001	-7.741e-007		
2.031e-001	-8.606e-007		
1.992e-001	-9.351e-007		
1.951e-001	-1.797e-006		
1.911e-001	-5.563e-007		
1.871e-001	-4.723e-007		
1.831e-001	-2.836e-006		
1.791e-001	-4.478e-007		
1.752e-001	-4.875e-007		
1.712e-001	-2.163e-006		
1.672e-001	-1.257e-006		
1.631e-001	-1.301e-006		
1.592e-001	-1.344e-006		
1.551e-001	-2.240e-006		
1.512e-001	-9.834e-007		
1.472e-001	-8.729e-007		
1.432e-001	-3.264e-006		
1.392e-001	-7.986e-007		
1.352e-001	-8.743e-007		
1.311e-001	-2.510e-006		
