XY
	CURVE1 (new-5mmolar-18btmapaq-CV-nitrogen-700mvps.DTA)[BKS]		CURVE2 (new-5mmolar-18btmapaq-CV-nitrogen-700mvps.DTA)[BKS]
-2.729e-001	-2.819e-006		
-2.769e-001	-3.045e-006		
-2.809e-001	-2.797e-006		
-2.849e-001	-2.959e-006		
-2.889e-001	-2.639e-006		
-2.929e-001	-2.658e-006		
-2.969e-001	-3.110e-006		
-3.009e-001	-2.283e-006		
-3.049e-001	-2.316e-006		
-3.089e-001	-3.421e-006		
-3.129e-001	-1.958e-006		
-3.169e-001	-2.034e-006		
-3.209e-001	-3.720e-006		
-3.249e-001	-1.687e-006		
-3.289e-001	-1.663e-006		
-3.329e-001	-3.958e-006		
-3.368e-001	-1.606e-006		
-3.408e-001	-1.490e-006		
-3.448e-001	-4.085e-006		
-3.488e-001	-1.855e-006		
-3.528e-001	-1.648e-006		
-3.569e-001	-4.086e-006		
-3.608e-001	-2.070e-006		
-3.649e-001	-1.939e-006		
-3.688e-001	-3.994e-006		
-3.728e-001	-2.351e-006		
-3.768e-001	-2.277e-006		
-3.808e-001	-3.958e-006		
-3.848e-001	-2.830e-006		
-3.888e-001	-2.724e-006		
-3.928e-001	-3.988e-006		
-3.968e-001	-3.244e-006		
-4.009e-001	-3.156e-006		
-4.049e-001	-3.913e-006		
-4.089e-001	-3.501e-006		
-4.129e-001	-3.639e-006		
-4.168e-001	-3.743e-006		
-4.209e-001	-3.680e-006		
-4.248e-001	-4.081e-006		
-4.289e-001	-3.728e-006		
-4.328e-001	-3.850e-006		
-4.368e-001	-4.567e-006		
-4.408e-001	-3.573e-006		
-4.449e-001	-3.642e-006		
-4.488e-001	-5.014e-006		
-4.528e-001	-3.438e-006		
-4.568e-001	-3.413e-006		
-4.608e-001	-5.411e-006		
-4.648e-001	-3.157e-006		
-4.688e-001	-3.123e-006		
-4.728e-001	-5.366e-006		
-4.768e-001	-3.029e-006		
-4.808e-001	-2.765e-006		
-4.848e-001	-5.287e-006		
-4.887e-001	-3.026e-006		
-4.928e-001	-2.713e-006		
-4.967e-001	-5.087e-006		
-5.008e-001	-3.060e-006		
-5.048e-001	-2.894e-006		
-5.088e-001	-4.760e-006		
-5.127e-001	-3.377e-006		
-5.168e-001	-3.358e-006		
-5.208e-001	-5.126e-006		
-5.248e-001	-4.449e-006		
-5.288e-001	-4.667e-006		
-5.328e-001	-6.279e-006		
-5.367e-001	-6.421e-006		
-5.408e-001	-7.429e-006		
-5.447e-001	-9.262e-006		
-5.489e-001	-1.068e-005		
-5.528e-001	-1.288e-005		
-5.568e-001	-1.550e-005		
-5.607e-001	-1.876e-005		
-5.648e-001	-2.324e-005		
-5.687e-001	-2.761e-005		
-5.728e-001	-3.359e-005		
-5.767e-001	-4.141e-005		
-5.807e-001	-4.862e-005		
-5.846e-001	-5.795e-005		
-5.887e-001	-7.017e-005		
-5.926e-001	-8.097e-005		
-5.967e-001	-9.478e-005		
-6.006e-001	-1.122e-004		
-6.046e-001	-1.269e-004		
-6.085e-001	-1.446e-004		
-6.126e-001	-1.665e-004		
-6.165e-001	-1.847e-004		
-6.205e-001	-2.057e-004		
-6.244e-001	-2.298e-004		
-6.284e-001	-2.501e-004		
-6.326e-001	-2.759e-004		
-6.367e-001	-2.994e-004		
-6.406e-001	-3.190e-004		
-6.447e-001	-3.383e-004		
-6.486e-001	-3.586e-004		
-6.526e-001	-3.738e-004		
-6.566e-001	-3.885e-004		
-6.607e-001	-4.023e-004		
-6.646e-001	-4.113e-004		
-6.687e-001	-4.184e-004		
-6.726e-001	-4.234e-004		
-6.767e-001	-4.241e-004		
-6.806e-001	-4.226e-004		
-6.847e-001	-4.188e-004		
-6.886e-001	-4.124e-004		
-6.927e-001	-4.048e-004		
-6.966e-001	-3.959e-004		
-7.007e-001	-3.865e-004		
-7.046e-001	-3.776e-004		
-7.086e-001	-3.678e-004		
-7.126e-001	-3.589e-004		
-7.167e-001	-3.514e-004		
-7.206e-001	-3.423e-004		
-7.246e-001	-3.348e-004		
-7.286e-001	-3.294e-004		
-7.326e-001	-3.210e-004		
-7.366e-001	-3.147e-004		
-7.407e-001	-3.110e-004		
-7.446e-001	-3.033e-004		
-7.487e-001	-2.979e-004		
-7.525e-001	-2.956e-004		
-7.566e-001	-2.885e-004		
-7.606e-001	-2.839e-004		
-7.647e-001	-2.821e-004		
-7.686e-001	-2.758e-004		
-7.727e-001	-2.716e-004		
-7.766e-001	-2.699e-004		
-7.806e-001	-2.646e-004		
-7.846e-001	-2.608e-004		
-7.887e-001	-2.591e-004		
-7.926e-001	-2.546e-004		
-7.967e-001	-2.512e-004		
-8.006e-001	-2.493e-004		
-8.047e-001	-2.455e-004		
-8.086e-001	-2.424e-004		
-8.126e-001	-2.403e-004		
-8.166e-001	-2.371e-004		
-8.206e-001	-2.344e-004		
-8.245e-001	-2.319e-004		
-8.286e-001	-2.292e-004		
-8.325e-001	-2.270e-004		
-8.365e-001	-2.243e-004		
-8.405e-001	-2.221e-004		
-8.446e-001	-2.204e-004		
-8.485e-001	-2.173e-004		
-8.525e-001	-2.152e-004		
-8.565e-001	-2.141e-004		
-8.605e-001	-2.106e-004		
-8.643e-001	-2.074e-004		
-8.683e-001	-2.073e-004		
-8.723e-001	-2.032e-004		
-8.763e-001	-2.014e-004		
-8.803e-001	-2.018e-004		
-8.844e-001	-1.977e-004		
-8.884e-001	-1.957e-004		
-8.924e-001	-1.964e-004		
-8.963e-001	-1.924e-004		
-9.003e-001	-1.904e-004		
-9.044e-001	-1.911e-004		
-9.084e-001	-1.874e-004		
-9.124e-001	-1.856e-004		
-9.164e-001	-1.858e-004		
-9.204e-001	-1.826e-004		
-9.243e-001	-1.809e-004		
-9.284e-001	-1.809e-004		
-9.324e-001	-1.783e-004		
-9.363e-001	-1.765e-004		
-9.403e-001	-1.763e-004		
-9.443e-001	-1.742e-004		
-9.483e-001	-1.727e-004		
-9.523e-001	-1.719e-004		
-9.563e-001	-1.702e-004		
-9.603e-001	-1.690e-004		
-9.643e-001	-1.678e-004		
-9.683e-001	-1.666e-004		
-9.724e-001	-1.657e-004		
-9.763e-001	-1.639e-004		
-9.803e-001	-1.630e-004		
-9.843e-001	-1.627e-004		
-9.883e-001	-1.605e-004		
-9.923e-001	-1.595e-004		
-9.963e-001	-1.599e-004		
-1.000e+000	-1.572e-004		
-9.963e-001	-1.509e-004		
-9.923e-001	-1.489e-004		
-9.883e-001	-1.435e-004		
-9.843e-001	-1.407e-004		
-9.804e-001	-1.408e-004		
-9.763e-001	-1.365e-004		
-9.724e-001	-1.343e-004		
-9.684e-001	-1.351e-004		
-9.644e-001	-1.315e-004		
-9.604e-001	-1.299e-004		
-9.564e-001	-1.306e-004		
-9.524e-001	-1.275e-004		
-9.484e-001	-1.261e-004		
-9.444e-001	-1.269e-004		
