XY
	CURVE1 (new-5mmolar-18btmapaq-CV-nitrogen-100mvps.DTA)[BKS]		CURVE2 (new-5mmolar-18btmapaq-CV-nitrogen-100mvps.DTA)[BKS]
4.989e-001	7.098e-006	4.988e-001	4.520e-006
4.948e-001	4.874e-006		
4.909e-001	3.455e-006		
4.869e-001	2.831e-006		
4.829e-001	2.433e-006		
4.789e-001	1.938e-006		
4.750e-001	1.888e-006		
4.709e-001	1.529e-006		
4.669e-001	1.457e-006		
4.629e-001	1.371e-006		
4.590e-001	1.123e-006		
4.550e-001	1.207e-006		
4.510e-001	9.693e-007		
4.469e-001	9.709e-007		
4.430e-001	9.477e-007		
4.390e-001	7.741e-007		
4.350e-001	8.797e-007		
4.310e-001	6.955e-007		
4.270e-001	7.262e-007		
4.231e-001	7.153e-007		
4.190e-001	5.788e-007		
4.150e-001	6.733e-007		
4.110e-001	5.317e-007		
4.070e-001	5.721e-007		
4.030e-001	5.632e-007		
3.990e-001	4.669e-007		
3.950e-001	5.521e-007		
3.910e-001	4.351e-007		
3.870e-001	4.667e-007		
3.830e-001	4.556e-007		
3.790e-001	3.874e-007		
3.750e-001	4.481e-007		
3.710e-001	3.667e-007		
3.670e-001	3.905e-007		
3.630e-001	3.874e-007		
3.590e-001	3.320e-007		
3.550e-001	3.754e-007		
3.511e-001	3.072e-007		
3.471e-001	3.357e-007		
3.430e-001	3.190e-007		
3.390e-001	2.981e-007		
3.350e-001	3.135e-007		
3.311e-001	2.702e-007		
3.271e-001	2.851e-007		
3.231e-001	2.674e-007		
3.190e-001	2.621e-007		
3.150e-001	2.552e-007		
3.111e-001	2.366e-007		
3.071e-001	2.390e-007		
3.031e-001	2.189e-007		
2.991e-001	2.325e-007		
2.951e-001	1.955e-007		
2.911e-001	2.152e-007		
2.871e-001	2.018e-007		
2.831e-001	1.684e-007		
2.792e-001	2.025e-007		
2.751e-001	1.498e-007		
2.711e-001	1.812e-007		
2.671e-001	1.569e-007		
2.631e-001	1.224e-007		
2.591e-001	1.804e-007		
2.552e-001	1.005e-007		
2.512e-001	1.608e-007		
2.471e-001	1.197e-007		
2.431e-001	8.469e-008		
2.391e-001	1.590e-007		
2.351e-001	4.234e-008		
2.312e-001	1.329e-007		
2.272e-001	8.030e-008		
2.232e-001	4.397e-008		
2.192e-001	1.384e-007		
2.152e-001	-4.040e-009		
2.112e-001	1.127e-007		
2.072e-001	4.852e-008		
2.032e-001	1.079e-008		
1.992e-001	1.185e-007		
1.952e-001	-4.844e-008		
1.912e-001	9.299e-008		
1.872e-001	2.257e-008		
1.832e-001	-2.065e-008		
1.792e-001	1.003e-007		
1.753e-001	-9.044e-008		
1.712e-001	7.747e-008		
1.672e-001	-7.651e-009		
1.632e-001	-4.298e-008		
1.593e-001	8.775e-008		
1.553e-001	-1.316e-007		
1.513e-001	7.123e-008		
1.473e-001	-3.407e-008		
1.433e-001	-6.818e-008		
1.393e-001	7.665e-008		
1.353e-001	-1.636e-007		
1.313e-001	6.026e-008		
1.273e-001	-5.134e-008		
1.233e-001	-9.620e-008		
1.193e-001	7.036e-008		
1.153e-001	-1.992e-007		
1.113e-001	5.347e-008		
1.073e-001	-7.329e-008		
1.033e-001	-1.070e-007		
9.929e-002	6.599e-008		
9.532e-002	-2.366e-007		
9.130e-002	5.265e-008		
8.731e-002	-9.325e-008		
8.330e-002	-1.161e-007		
7.934e-002	6.800e-008		
7.532e-002	-2.586e-007		
7.135e-002	5.297e-008		
6.729e-002	-1.075e-007		
6.332e-002	-1.340e-007		
5.931e-002	6.264e-008		
5.534e-002	-2.817e-007		
5.132e-002	4.938e-008		
4.738e-002	-1.194e-007		
4.333e-002	-1.447e-007		
3.944e-002	6.536e-008		
3.532e-002	-3.028e-007		
3.134e-002	5.621e-008		
2.731e-002	-1.316e-007		
2.338e-002	-1.532e-007		
1.932e-002	7.296e-008		
1.545e-002	-3.342e-007		
1.134e-002	6.108e-008		
7.366e-003	-1.484e-007		
3.336e-003	-1.645e-007		
-6.070e-004	7.945e-008		
-4.663e-003	-3.553e-007		
-8.595e-003	4.650e-008		
-1.265e-002	-1.607e-007		
-1.665e-002	-1.720e-007		
-2.065e-002	7.047e-008		
-2.461e-002	-3.753e-007		
-2.865e-002	4.411e-008		
-3.256e-002	-1.760e-007		
-3.667e-002	-1.867e-007		
-4.062e-002	6.501e-008		
-4.465e-002	-3.977e-007		
-4.858e-002	3.274e-008		
-5.264e-002	-1.945e-007		
-5.653e-002	-2.026e-007		
-6.064e-002	6.288e-008		
-6.461e-002	-4.298e-007		
-6.863e-002	1.988e-008		
-7.257e-002	-2.193e-007		
-7.664e-002	-2.176e-007		
-8.051e-002	5.035e-008		
-8.464e-002	-4.573e-007		
-8.842e-002	1.983e-008		
-9.262e-002	-2.489e-007		
-9.657e-002	-2.429e-007		
-1.006e-001	3.953e-008		
-1.045e-001	-4.852e-007		
-1.086e-001	1.289e-008		
-1.124e-001	-2.763e-007		
-1.166e-001	-2.545e-007		
-1.205e-001	4.467e-008		
-1.246e-001	-5.180e-007		
-1.284e-001	6.367e-009		
-1.326e-001	-2.894e-007		
-1.364e-001	-2.630e-007		
-1.405e-001	3.162e-008		
-1.445e-001	-5.289e-007		
-1.486e-001	9.192e-009		
-1.525e-001	-2.972e-007		
-1.566e-001	-2.681e-007		
-1.604e-001	4.019e-008		
-1.646e-001	-5.384e-007		
-1.685e-001	1.496e-008		
-1.726e-001	-3.004e-007		
-1.765e-001	-2.648e-007		
-1.805e-001	5.046e-008		
-1.844e-001	-5.448e-007		
-1.886e-001	3.197e-008		
-1.925e-001	-3.041e-007		
-1.965e-001	-2.555e-007		
-2.004e-001	6.417e-008		
-2.045e-001	-5.491e-007		
-2.083e-001	5.692e-008		
-2.125e-001	-3.102e-007		
-2.163e-001	-2.473e-007		
-2.205e-001	6.856e-008		
-2.244e-001	-5.616e-007		
-2.284e-001	7.025e-008		
-2.323e-001	-3.255e-007		
-2.364e-001	-2.544e-007		
-2.403e-001	5.519e-008		
-2.444e-001	-5.846e-007		
-2.484e-001	3.732e-008		
-2.524e-001	-3.760e-007		
-2.563e-001	-2.965e-007		
-2.604e-001	-9.020e-009		
-2.643e-001	-6.786e-007		
-2.683e-001	-5.253e-008		
-2.724e-001	-5.052e-007		
-2.764e-001	-4.542e-007		
-2.803e-001	-1.781e-007		
-2.843e-001	-8.946e-007		
-2.883e-001	-2.893e-007		
-2.924e-001	-8.007e-007		
-2.964e-001	-7.737e-007		
-3.003e-001	-5.374e-007		
-3.043e-001	-1.304e-006		
-3.083e-001	-7.226e-007		
-3.123e-001	-1.300e-006		
-3.163e-001	-1.299e-006		
-3.203e-001	-1.098e-006		
-3.243e-001	-1.920e-006		
-3.283e-001	-1.350e-006		
-3.323e-001	-1.972e-006		
-3.363e-001	-1.992e-006		
-3.403e-001	-1.807e-006		
-3.442e-001	-2.663e-006		
-3.483e-001	-2.071e-006		
-3.523e-001	-2.709e-006		
-3.563e-001	-2.713e-006		
-3.602e-001	-2.516e-006		
-3.642e-001	-3.357e-006		
-3.682e-001	-2.718e-006		
-3.722e-001	-3.344e-006		
-3.762e-001	-3.280e-006		
-3.802e-001	-3.034e-006		
-3.842e-001	-3.826e-006		
-3.882e-001	-3.108e-006		
-3.922e-001	-3.688e-006		
-3.961e-001	-3.566e-006		
-4.002e-001	-3.243e-006		
-4.042e-001	-3.986e-006		
-4.082e-001	-3.192e-006		
-4.122e-001	-3.722e-006		
