XY
	CURVE1 (new-5mmolar-18btmapaq-CV-nitrogen-200mvps.DTA)[BKS]		CURVE2 (new-5mmolar-18btmapaq-CV-nitrogen-200mvps.DTA)[BKS]
4.988e-001	2.304e-005	4.987e-001	9.747e-006
4.947e-001	1.690e-005		
4.906e-001	1.397e-005		
4.866e-001	1.149e-005		
4.827e-001	9.928e-006		
4.787e-001	8.573e-006		
4.748e-001	7.091e-006		
4.707e-001	6.957e-006		
4.668e-001	6.231e-006		
4.627e-001	5.844e-006		
4.588e-001	5.295e-006		
4.548e-001	4.429e-006		
4.508e-001	4.760e-006		
4.468e-001	4.376e-006		
4.428e-001	4.248e-006		
4.388e-001	3.913e-006		
4.348e-001	3.202e-006		
4.308e-001	3.692e-006		
4.269e-001	3.410e-006		
4.229e-001	3.375e-006		
4.189e-001	3.123e-006		
4.148e-001	2.484e-006		
4.109e-001	3.059e-006		
4.069e-001	2.816e-006		
4.029e-001	2.853e-006		
3.989e-001	2.628e-006		
3.949e-001	2.019e-006		
3.909e-001	2.625e-006		
3.869e-001	2.415e-006		
3.829e-001	2.470e-006		
3.789e-001	2.268e-006		
3.749e-001	1.678e-006		
3.709e-001	2.323e-006		
3.669e-001	2.124e-006		
3.629e-001	2.206e-006		
3.589e-001	2.008e-006		
3.549e-001	1.435e-006		
3.509e-001	2.068e-006		
3.469e-001	1.883e-006		
3.429e-001	1.981e-006		
3.389e-001	1.804e-006		
3.349e-001	1.226e-006		
3.310e-001	1.869e-006		
3.270e-001	1.687e-006		
3.230e-001	1.809e-006		
3.190e-001	1.625e-006		
3.150e-001	1.045e-006		
3.110e-001	1.706e-006		
3.070e-001	1.541e-006		
3.030e-001	1.646e-006		
2.990e-001	1.468e-006		
2.950e-001	8.715e-007		
2.910e-001	1.559e-006		
2.870e-001	1.373e-006		
2.830e-001	1.483e-006		
2.790e-001	1.302e-006		
2.750e-001	7.139e-007		
2.710e-001	1.416e-006		
2.670e-001	1.253e-006		
2.630e-001	1.349e-006		
2.590e-001	1.177e-006		
2.550e-001	5.731e-007		
2.510e-001	1.297e-006		
2.470e-001	1.136e-006		
2.430e-001	1.257e-006		
2.391e-001	1.068e-006		
2.350e-001	4.854e-007		
2.310e-001	1.200e-006		
2.270e-001	1.021e-006		
2.230e-001	1.153e-006		
2.190e-001	9.523e-007		
2.151e-001	3.658e-007		
2.110e-001	1.102e-006		
2.071e-001	9.240e-007		
2.031e-001	1.047e-006		
1.991e-001	8.763e-007		
1.950e-001	2.583e-007		
1.911e-001	1.020e-006		
1.871e-001	8.533e-007		
1.831e-001	9.824e-007		
1.791e-001	7.818e-007		
1.751e-001	1.768e-007		
1.711e-001	9.427e-007		
1.671e-001	7.713e-007		
1.631e-001	8.985e-007		
1.591e-001	7.111e-007		
1.551e-001	1.161e-007		
1.511e-001	8.854e-007		
1.471e-001	7.056e-007		
1.431e-001	8.474e-007		
1.392e-001	6.524e-007		
1.351e-001	3.746e-008		
1.311e-001	8.238e-007		
1.272e-001	6.518e-007		
1.231e-001	7.970e-007		
1.191e-001	6.045e-007		
1.152e-001	-2.240e-008		
1.112e-001	7.829e-007		
1.072e-001	6.217e-007		
1.032e-001	7.490e-007		
9.917e-002	5.603e-007		
9.516e-002	-7.313e-008		
9.113e-002	7.405e-007		
8.720e-002	5.738e-007		
8.317e-002	7.148e-007		
7.920e-002	5.193e-007		
7.519e-002	-1.099e-007		
7.119e-002	7.058e-007		
6.717e-002	5.476e-007		
6.322e-002	6.865e-007		
5.921e-002	5.036e-007		
5.520e-002	-1.501e-007		
5.121e-002	6.741e-007		
4.722e-002	5.034e-007		
4.321e-002	6.555e-007		
3.925e-002	4.630e-007		
3.522e-002	-1.934e-007		
3.122e-002	6.465e-007		
2.722e-002	4.747e-007		
2.328e-002	6.240e-007		
1.924e-002	4.358e-007		
1.526e-002	-2.322e-007		
1.125e-002	6.132e-007		
7.259e-003	4.554e-007		
3.255e-003	5.897e-007		
-6.914e-004	4.097e-007		
-4.748e-003	-2.721e-007		
-8.717e-003	5.936e-007		
-1.273e-002	4.126e-007		
-1.670e-002	5.614e-007		
-2.072e-002	3.711e-007		
