XY
	CURVE1 (new-5mmolar-18btmapaq-CV-nitrogen-1000mvps.DTA)[BKS]		CURVE2 (new-5mmolar-18btmapaq-CV-nitrogen-1000mvps.DTA)[BKS]
4.988e-001	3.082e-005	4.988e-001	3.325e-005
4.947e-001	2.668e-005		
4.908e-001	2.441e-005		
4.867e-001	2.266e-005		
4.828e-001	2.089e-005		
4.788e-001	1.891e-005		
4.748e-001	1.710e-005		
4.708e-001	1.673e-005		
4.668e-001	1.536e-005		
4.628e-001	1.431e-005		
4.588e-001	1.269e-005		
4.548e-001	1.286e-005		
4.508e-001	1.168e-005		
4.468e-001	1.138e-005		
4.428e-001	9.615e-006		
4.388e-001	1.000e-005		
4.348e-001	8.952e-006		
4.308e-001	9.083e-006		
4.268e-001	7.257e-006		
4.229e-001	7.606e-006		
4.188e-001	6.822e-006		
4.148e-001	6.838e-006		
4.108e-001	5.463e-006		
4.068e-001	5.785e-006		
4.028e-001	5.251e-006		
3.989e-001	5.002e-006		
3.949e-001	4.061e-006		
3.908e-001	4.018e-006		
3.868e-001	3.997e-006		
3.829e-001	3.673e-006		
3.789e-001	3.135e-006		
3.749e-001	2.512e-006		
3.709e-001	3.229e-006		
3.668e-001	2.771e-006		
3.629e-001	2.639e-006		
3.589e-001	1.727e-006		
3.549e-001	2.621e-006		
3.509e-001	2.038e-006		
3.469e-001	2.450e-006		
3.429e-001	1.211e-006		
3.389e-001	2.061e-006		
3.349e-001	1.451e-006		
3.309e-001	2.002e-006		
3.269e-001	5.089e-007		
3.229e-001	1.225e-006		
3.189e-001	8.503e-007		
3.149e-001	1.048e-006		
3.109e-001	-6.624e-008		
3.069e-001	5.197e-007		
3.029e-001	3.702e-007		
2.989e-001	3.275e-007		
2.949e-001	-5.104e-007		
2.909e-001	-3.671e-007		
2.870e-001	-1.289e-007		
2.829e-001	-2.425e-007		
2.789e-001	-6.927e-007		
2.749e-001	-1.110e-006		
2.710e-001	-3.571e-007		
2.670e-001	-6.906e-007		
2.629e-001	-6.979e-007		
2.589e-001	-1.486e-006		
2.550e-001	-5.358e-007		
2.510e-001	-1.045e-006		
2.470e-001	-5.299e-007		
2.430e-001	-1.717e-006		
2.390e-001	-8.102e-007		
2.350e-001	-1.305e-006		
2.310e-001	-5.837e-007		
2.270e-001	-2.088e-006		
2.230e-001	-1.241e-006		
2.190e-001	-1.613e-006		
2.150e-001	-1.264e-006		
2.110e-001	-2.324e-006		
2.070e-001	-1.648e-006		
2.031e-001	-1.852e-006		
1.990e-001	-1.922e-006		
1.950e-001	-2.532e-006		
1.910e-001	-2.468e-006		
1.870e-001	-2.128e-006		
1.830e-001	-2.229e-006		
1.791e-001	-2.562e-006		
1.751e-001	-3.025e-006		
1.710e-001	-2.170e-006		
1.671e-001	-2.440e-006		
1.631e-001	-2.413e-006		
1.591e-001	-3.107e-006		
1.551e-001	-2.109e-006		
1.511e-001	-2.586e-006		
1.471e-001	-2.013e-006		
1.432e-001	-3.237e-006		
1.391e-001	-2.203e-006		
1.351e-001	-2.654e-006		
1.311e-001	-1.966e-006		
1.271e-001	-3.401e-006		
1.231e-001	-2.486e-006		
1.192e-001	-2.879e-006		
1.151e-001	-2.486e-006		
1.111e-001	-3.531e-006		
1.071e-001	-2.847e-006		
1.031e-001	-3.101e-006		
9.914e-002	-2.943e-006		
9.524e-002	-3.663e-006		
9.104e-002	-3.497e-006		
8.716e-002	-3.149e-006		
8.313e-002	-3.146e-006		
7.917e-002	-3.522e-006		
7.516e-002	-3.932e-006		
7.125e-002	-3.008e-006		
6.712e-002	-3.317e-006		
6.318e-002	-3.317e-006		
5.914e-002	-3.967e-006		
5.518e-002	-2.942e-006		
5.116e-002	-3.434e-006		
4.724e-002	-2.846e-006		
4.318e-002	-4.018e-006		
3.934e-002	-3.051e-006		
3.518e-002	-3.430e-006		
3.119e-002	-2.722e-006		
2.714e-002	-4.077e-006		
2.330e-002	-3.224e-006		
1.914e-002	-3.540e-006		
1.535e-002	-3.199e-006		
1.121e-002	-4.219e-006		
7.260e-003	-3.420e-006		
3.168e-003	-3.672e-006		
-7.130e-004	-3.586e-006		
-4.803e-003	-4.317e-006		
-8.719e-003	-4.029e-006		
-1.280e-002	-3.793e-006		
-1.676e-002	-3.822e-006		
-2.078e-002	-4.210e-006		
-2.472e-002	-4.548e-006		
-2.878e-002	-3.724e-006		
-3.268e-002	-3.968e-006		
-3.679e-002	-3.976e-006		
-4.076e-002	-4.678e-006		
-4.479e-002	-3.583e-006		
-4.869e-002	-4.083e-006		
-5.277e-002	-3.531e-006		
-5.663e-002	-4.678e-006		
-6.080e-002	-3.708e-006		
-6.472e-002	-4.138e-006		
-6.875e-002	-3.480e-006		
-7.269e-002	-4.788e-006		
-7.675e-002	-3.956e-006		
-8.064e-002	-4.406e-006		
-8.477e-002	-3.962e-006		
-8.862e-002	-5.084e-006		
-9.274e-002	-4.362e-006		
-9.664e-002	-4.579e-006		
-1.008e-001	-4.509e-006		
-1.046e-001	-5.248e-006		
-1.087e-001	-5.040e-006		
-1.126e-001	-4.693e-006		
-1.167e-001	-4.859e-006		
-1.206e-001	-5.199e-006		
-1.247e-001	-5.552e-006		
-1.286e-001	-4.795e-006		
-1.327e-001	-5.027e-006		
-1.366e-001	-5.089e-006		
-1.407e-001	-5.762e-006		
-1.446e-001	-4.707e-006		
-1.487e-001	-5.205e-006		
-1.526e-001	-4.642e-006		
-1.567e-001	-5.814e-006		
-1.606e-001	-4.829e-006		
-1.647e-001	-5.350e-006		
-1.686e-001	-4.602e-006		
-1.727e-001	-5.926e-006		
-1.766e-001	-5.171e-006		
-1.807e-001	-5.432e-006		
-1.846e-001	-5.084e-006		
-1.887e-001	-6.135e-006		
-1.926e-001	-5.366e-006		
-1.966e-001	-5.513e-006		
-2.006e-001	-5.467e-006		
-2.046e-001	-6.150e-006		
-2.085e-001	-5.869e-006		
