XY	
	CURVE1 (new-5mmolar-18btmapaq-CV-nitrogen-300mvps.DTA)[BKS]
-1.73E-01	1.04E-06
-1.77E-01	-3.62E-07
-1.81E-01	1.51E-06
-1.85E-01	1.47E-06
-1.89E-01	1.64E-06
-1.93E-01	1.05E-06
-1.97E-01	-2.94E-07
-2.01E-01	1.57E-06
-2.05E-01	1.53E-06
-2.09E-01	1.69E-06
-2.13E-01	1.14E-06
-2.17E-01	-2.25E-07
-2.21E-01	1.65E-06
-2.25E-01	1.65E-06
-2.29E-01	1.85E-06
-2.33E-01	1.28E-06
-2.37E-01	-4.21E-08
-2.41E-01	1.86E-06
-2.45E-01	1.88E-06
-2.49E-01	2.13E-06
-2.53E-01	1.62E-06
-2.57E-01	3.70E-07
-2.61E-01	2.32E-06
-2.65E-01	2.39E-06
-2.69E-01	2.73E-06
-2.73E-01	2.24E-06
-2.77E-01	1.07E-06
-2.81E-01	3.07E-06
-2.85E-01	3.16E-06
-2.89E-01	3.52E-06
-2.93E-01	3.03E-06
-2.97E-01	1.83E-06
-3.01E-01	3.80E-06
-3.05E-01	3.81E-06
-3.09E-01	4.12E-06
-3.13E-01	3.50E-06
-3.17E-01	2.23E-06
-3.21E-01	4.05E-06
-3.25E-01	3.86E-06
-3.29E-01	3.92E-06
-3.33E-01	2.96E-06
-3.37E-01	1.31E-06
-3.41E-01	2.62E-06
-3.45E-01	1.80E-06
-3.49E-01	1.08E-06
-3.53E-01	-8.80E-07
-3.57E-01	-3.67E-06
-3.61E-01	-3.90E-06
-3.65E-01	-6.43E-06
-3.69E-01	-9.30E-06
-3.73E-01	-1.42E-05
-3.77E-01	-1.98E-05
-3.81E-01	-2.34E-05
-3.85E-01	-2.99E-05
-3.89E-01	-3.73E-05
-3.93E-01	-4.65E-05
-3.97E-01	-5.75E-05
-4.01E-01	-6.68E-05
-4.05E-01	-7.93E-05
-4.09E-01	-9.27E-05
-4.13E-01	-1.08E-04
-4.17E-01	-1.24E-04
-4.21E-01	-1.39E-04
-4.25E-01	-1.56E-04
-4.29E-01	-1.72E-04
-4.33E-01	-1.89E-04
-4.37E-01	-2.07E-04
-4.41E-01	-2.20E-04
-4.45E-01	-2.34E-04
-4.49E-01	-2.46E-04
-4.53E-01	-2.61E-04
-4.57E-01	-2.70E-04
-4.61E-01	-2.73E-04
-4.65E-01	-2.77E-04
-4.69E-01	-2.77E-04
-4.73E-01	-2.77E-04
-4.77E-01	-2.74E-04
-4.81E-01	-2.68E-04
-4.85E-01	-2.62E-04
-4.89E-01	-2.56E-04
-4.93E-01	-2.50E-04
-4.97E-01	-2.45E-04
-5.01E-01	-2.36E-04
-5.05E-01	-2.31E-04
-5.09E-01	-2.25E-04
-5.13E-01	-2.20E-04
-5.17E-01	-2.15E-04
-5.21E-01	-2.09E-04
-5.25E-01	-2.04E-04
-5.29E-01	-2.00E-04
-5.33E-01	-1.97E-04
-5.37E-01	-1.95E-04
-5.41E-01	-1.89E-04
-5.45E-01	-1.86E-04
-5.49E-01	-1.83E-04
-5.53E-01	-1.81E-04
-5.57E-01	-1.79E-04
-5.61E-01	-1.75E-04
-5.65E-01	-1.73E-04
-5.69E-01	-1.70E-04
-5.73E-01	-1.68E-04
-5.77E-01	-1.67E-04
-5.81E-01	-1.63E-04
-5.85E-01	-1.61E-04
-5.89E-01	-1.59E-04
-5.93E-01	-1.57E-04
-5.97E-01	-1.57E-04
-6.01E-01	-1.53E-04
-6.05E-01	-1.51E-04
-6.09E-01	-1.49E-04
-6.13E-01	-1.48E-04
-6.17E-01	-1.48E-04
-6.21E-01	-1.44E-04
-6.25E-01	-1.43E-04
-6.29E-01	-1.41E-04
-6.33E-01	-1.40E-04
-6.37E-01	-1.40E-04
-6.41E-01	-1.37E-04
-6.45E-01	-1.35E-04
-6.49E-01	-1.34E-04
-6.53E-01	-1.33E-04
-6.57E-01	-1.33E-04
-6.61E-01	-1.30E-04
-6.65E-01	-1.29E-04
-6.69E-01	-1.27E-04
-6.73E-01	-1.27E-04
-6.77E-01	-1.27E-04
-6.81E-01	-1.24E-04
-6.85E-01	-1.23E-04
-6.89E-01	-1.21E-04
-6.93E-01	-1.21E-04
-6.97E-01	-1.21E-04
-7.01E-01	-1.18E-04
-7.05E-01	-1.17E-04
-7.09E-01	-1.16E-04
-7.13E-01	-1.16E-04
-7.17E-01	-1.16E-04
-7.21E-01	-1.14E-04
-7.25E-01	-1.13E-04
-7.29E-01	-1.12E-04
-7.33E-01	-1.12E-04
-7.37E-01	-1.12E-04
-7.41E-01	-1.09E-04
-7.45E-01	-1.09E-04
-7.49E-01	-1.08E-04
-7.53E-01	-1.08E-04
-7.57E-01	-1.08E-04
-7.61E-01	-1.06E-04
-7.65E-01	-1.05E-04
-7.69E-01	-1.04E-04
-7.73E-01	-1.04E-04
-7.77E-01	-1.05E-04
-7.81E-01	-1.03E-04
-7.85E-01	-1.02E-04
-7.89E-01	-1.01E-04
-7.93E-01	-1.02E-04
-7.97E-01	-1.02E-04
-8.01E-01	-9.98E-05
-7.97E-01	-9.72E-05
-7.93E-01	-9.51E-05
-7.89E-01	-9.46E-05
-7.85E-01	-9.46E-05
-7.81E-01	-9.17E-05
-7.77E-01	-9.12E-05
-7.73E-01	-9.02E-05
-7.69E-01	-9.01E-05
-7.65E-01	-9.06E-05
-7.61E-01	-8.81E-05
-7.57E-01	-8.76E-05
-7.53E-01	-8.66E-05
-7.49E-01	-8.68E-05
-7.45E-01	-8.73E-05
-7.41E-01	-8.50E-05
-7.37E-01	-8.47E-05
-7.33E-01	-8.38E-05
-7.29E-01	-8.41E-05
-7.25E-01	-8.48E-05
-7.21E-01	-8.25E-05
-7.17E-01	-8.23E-05
-7.13E-01	-8.14E-05
-7.09E-01	-8.18E-05
-7.05E-01	-8.25E-05
-7.01E-01	-8.02E-05
-6.97E-01	-7.99E-05
-6.93E-01	-7.91E-05
-6.89E-01	-7.95E-05
-6.85E-01	-8.03E-05
-6.81E-01	-7.80E-05
-6.77E-01	-7.78E-05
-6.73E-01	-7.71E-05
-6.69E-01	-7.75E-05
-6.65E-01	-7.82E-05
-6.61E-01	-7.60E-05
-6.57E-01	-7.57E-05
-6.53E-01	-7.50E-05
-6.49E-01	-7.55E-05
-6.45E-01	-7.62E-05
-6.41E-01	-7.40E-05
-6.37E-01	-7.40E-05
-6.33E-01	-7.34E-05
-6.29E-01	-7.37E-05
-6.25E-01	-7.42E-05
-6.21E-01	-7.19E-05
-6.17E-01	-7.16E-05
-6.13E-01	-7.07E-05
-6.09E-01	-7.11E-05
-6.05E-01	-7.16E-05
-6.01E-01	-6.92E-05
-5.97E-01	-6.88E-05
-5.93E-01	-6.79E-05
-5.89E-01	-6.82E-05
-5.85E-01	-6.87E-05
-5.81E-01	-6.61E-05
-5.77E-01	-6.56E-05
-5.73E-01	-6.45E-05
-5.69E-01	-6.46E-05
-5.65E-01	-6.47E-05
-5.61E-01	-6.20E-05
-5.57E-01	-6.13E-05
-5.53E-01	-5.99E-05
-5.49E-01	-5.99E-05
-5.45E-01	-5.98E-05
-5.41E-01	-5.67E-05
-5.37E-01	-5.57E-05
-5.33E-01	-5.40E-05
-5.29E-01	-5.36E-05
-5.25E-01	-5.30E-05
-5.21E-01	-4.97E-05
-5.17E-01	-4.83E-05
-5.13E-01	-4.62E-05
-5.09E-01	-4.51E-05
-5.05E-01	-4.40E-05
-5.01E-01	-3.99E-05
-4.97E-01	-3.76E-05
-4.93E-01	-3.44E-05
-4.89E-01	-3.21E-05
